PCON25CD,PCON25NM,geometry,CTR_REG,Country,hexmap_geometry,highly_rural,rural,urban,label,density,electorate,total_population_PC,mean_imd_ranking,median_imd_lsoa_ranking,median_imd_decile,total_number_of_LSOAs,number_of_LSOAs_with_decile_equal_1,pct_decile_equal_1,number_of_LSOAs_with_decile_equal_10,pct_decile_equal_10,new_ranking,no_central_heating,mains_gas_only,tank_or_bottled_gas_only,electric_only,oil_only,other,two_or_more_types_of_central_heating,pop_share,new_ranking_quintile_deprivation,max_nox,min_nox,mean_nox,median_nox,sd_nox,pw_mean_nox,nox_conc_quintile
E14001283,Hertford and Stortford,"list(list(c(551263.2495, 549553.7004, 549033.198, 549895.2026, 548875, 548399.1033, 541000.1009, 541165.73, 540083.32, 541093.8, 540351.12, 539811.28, 537619.3, 537653.3976, 535059.9961, 534182.3011, 532163.9019, 530546.4023, 530678.4964, 529910.6009, 530038.2015, 531664.1028, 531540.6989, 533044.408, 533774.14, 534643.55, 535561.6009, 538959.27, 541785.7975, 543973.3029, 545877.83, 546332.1984, 550052.1968, 549789.71, 551263.2495, 221115.2949, 220340.997400001, 216360.3968, 215443.9991, 214966.695800001, 
213106.2983, 210467.603599999, 211709.439999999, 212662.99, 213133.699999999, 214297.605900001, 213688.59, 213808.4, 213002.398, 213091.4026, 211185.798, 210647.5021, 211242.8017, 212939.596000001, 213073.4977, 214106.0021, 214745.9989, 215460.104499999, 215279.892999999, 216334.300000001, 215234.4, 216137.000800001, 216498.5, 221457.3978, 220026.5974, 219978.390000001, 222801.802999999, 224132.6021, 222703.52, 221115.2949)))",East of England,England,"list(c(-59917.3843368748, -49813.7546260564, -29606.4952044195, -19502.865493601, -29606.4952044195, -49813.7546260564, -59917.3843368748, 6991412.3664, 7008912.3664, 7008912.3664, 6991412.3664, 6973912.3664, 6973912.3664, 6991412.3664))",0.06138653121725092,0,0.9386134687827491,Urban,621.0113833173211,75396,103041,35567.876233732204,39149,10,61,0,0,32,52.459016393442624,571,0.011783331,0.76161936,0.005179238,0.113603981,0.017527988,0.010516793,0.079769309,0.46801564168419324,5,15.47767,7.625053,9.8931787226890755,9.639371,1.5179469764906706,11.359510167259014,3
E14001537,Swindon South,"list(list(c(412129.8041, 414519.1981, 416623.6015, 417533.3038, 417715.8, 418825.7996, 419545.6017, 419294.6962, 418680.703, 419190.9981, 416060.604, 413148.704, 410898.5229, 409445.9, 409793.75, 410832.4, 411296.3, 412129.8041, 186744.6043, 185036.5032, 185936.895500001, 185040.1022, 185849.9004, 185895.997199999, 184654.9024, 182495.2006, 182752.596899999, 180917.6022, 181308.3004, 183833.0977, 182699.8784, 184527.65, 185158.49, 184774.300000001, 186813, 186744.6043)))",South West,England,"list(c(-363026.275661428, -352922.64595061, -332715.386528973, -322611.756818155, -332715.386528973, -352922.64595061, -363026.275661428, 6641412.3664, 6658912.3664, 6658912.3664, 6641412.3664, 6623912.3664, 6623912.3664, 6641412.3664))",0.03223524479921748,0,0.9677647552007825,Urban,2218.662701011516,72468,108289,22317.56238860826,24202,6,65,6,9.230769230769232,5,7.6923076923076925,341,0.016647409,0.760067617,0.004857277,0.123379124,0.001690418,0.017760089,0.075598066,0.4698556489185521,4,13.96282,7.618864,10.809076064516129,10.71432,1.5188727494436771,11.39028770317047,3
E14001074,Barnsley North,"list(list(c(443213.9978, 444333.2978, 444447.2033, 443103.9015, 441914.304, 441430.205, 439386.0962, 436536.298, 435608.9018, 433910.0977, 433388.6965, 431974.8004, 430493.1, 430514, 429321.67, 428285.1026, 428191.8015, 429370.804, 431139.7984, 433094.9002, 433741.6016, 434268.898, 436641.3978, 439781.9004, 441339.7964, 443213.9978, 409834.895400001, 407566.2048, 405070.1993, 405560.098999999, 407597.8957, 406554.6424, 407163.800000001, 406466.1997, 404891.600400001, 406810.4011, 406428.9003, 407511.4005, 
407486.890000001, 408695.58, 408806.630000001, 410115.395099999, 411384.6018, 412239.497099999, 410830.2005, 411587.4037, 411918.5989, 411043.399499999, 413049.5952, 411509.796, 412391.8035, 409834.895400001)))",Yorkshire and the Humber,England,"list(c(-120539.162601786, -110435.532890967, -90228.2734693301, -80124.6437585117, -90228.2734693301, -110435.532890967, -120539.162601786, 7271412.3664, 7288912.3664, 7288912.3664, 7271412.3664, 7253912.3664, 7253912.3664, 7271412.3664))",0,0.09118147151559172,0.9088185284844083,Urban,1022.1020439191568,76794,104390,13898.44625922023,12306,3,62,13,20.967741935483872,0,0,125,0.00713183,0.826009437,0.004500881,0.035854841,0.001761214,0.0312235,0.093518297,0.4716294057654591,2,15.60742,7.831336,10.633059315068492,10.09183,1.6281388149858234,11.428357592686243,3
E14001418,Ossett and Denby Dale,"list(list(c(429508.4965, 429641.5966, 431244.2963, 432228.097, 433568.8016, 434908.2035, 435000.103, 432357.2971, 433805.4019, 433094.9002, 431139.7984, 429370.804, 427150.2029, 427368.6971, 426407.999, 426835.0025, 425556.5975, 423397.6035, 421995.9019, 420036.4961, 419696.2967, 417752.5977, 416007.7037, 416316.7038, 414878.8971, 418266.801, 418548.5017, 419648.4011, 421069.21, 422088.1971, 425761.3966, 424899.796, 427171.2031, 425515.298, 427046.7027, 426346.3012, 426613.804, 428408.6961, 429192.7025, 
429508.4965, 423023.3002, 420078.203299999, 417844.002800001, 418727.9998, 418362.4044, 420008.5032, 416466.497099999, 414280.402899999, 413629.1993, 411587.4037, 410830.2005, 412239.497099999, 412322.703299999, 410844.7963, 409888.0002, 409006.002699999, 407445.8992, 407342.0989, 406337.6964, 406393.9004, 407108.8957, 409861.197899999, 410075.296599999, 411554.1033, 413106.4989, 415273.298699999, 414269.495999999, 413985.8972, 414659.300000001, 414012.6995, 414537.3993, 417559.1044, 418361.3047, 
420190.901000001, 421507.1043, 421818.795, 422666.9023, 423414.2983, 422593.4033, 423023.3002)))",Yorkshire and the Humber,England,"list(c(-120539.162601786, -110435.532890967, -90228.2734693301, -80124.6437585117, -90228.2734693301, -110435.532890967, -120539.162601786, 7306412.3664, 7323912.3664, 7323912.3664, 7306412.3664, 7288912.3664, 7288912.3664, 7306412.3664))",0.06855058365758755,0.2349124513618677,0.6965369649805447,Urban with rural areas,509.49132192279626,71595,95051,26326.930973898223,29357,7,59,1,1.694915254237288,9,15.254237288135592,445,0.011119073,0.832991525,0.005238319,0.03827432,0.007190334,0.014899558,0.090286872,0.4732444777269052,4,17.67112,6.128945,9.528892876712328,8.601398499999998,2.5944096308200324,11.456319818291648,3
E14001457,Rushcliffe,"list(list(c(475079.0977, 471399.2146, 472254.3974, 470178.15, 468999.0989, 468651.0996, 466005.8037, 465040.4533, 462661.2029, 462464.0965, 459607.0014, 458685.3025, 456501.4991, 454200.2036, 452298.7029, 451703.5002, 449845.6844, 448979.802, 449373.8005, 451239.3033, 451248.4965, 452537.1995, 452968.5976, 455601.43, 456697.5, 457071.1009, 457839.4994, 458453.6987, 460600.1025, 461502.104, 462350.1002, 464485.2, 465002.8992, 468742.9001, 468250.9008, 469174.2982, 472593.5003, 472044, 472456.3025, 
473429.6979, 475079.0977, 333375.9015, 331563.1556, 330380.198999999, 327872.4, 327512.799799999, 325275.700200001, 325392.196799999, 324694.829399999, 324453.295600001, 325642.895099999, 325034.099300001, 323493.100400001, 323544.595699999, 321614.7981, 321846.1019, 323000.3015, 323908.5176, 326756.896199999, 330903.7992, 331672.999, 333028.201099999, 333406.3028, 334395.6996, 332770.859999999, 333950.699999999, 338070.4977, 337541.2992, 338735.7973, 338663.9978, 339409.104499999, 340234.498299999, 
339744.398600001, 340543.6998, 339677.9976, 338843.896299999, 337264.998299999, 338007.695699999, 335588.698100001, 334880.900699999, 335277.8971, 333375.9015)))",East Midlands,England,"list(c(-59917.3843368748, -49813.7546260564, -29606.4952044195, -19502.865493601, -29606.4952044195, -49813.7546260564, -59917.3843368748, 7096412.3664, 7113912.3664, 7113912.3664, 7096412.3664, 7078912.3664, 7078912.3664, 7096412.3664))",0.10386221294363257,0.382429983850002,0.5137078032063654,Rural,262.9190367214965,76171,99254,36128.89183307474,38714,10,58,0,0,30,51.72413793103448,568,0.00747739,0.820898711,0.009400147,0.045386569,0.023500368,0.011394118,0.081942697,0.47493096553304476,5,21.32206,6.03756,8.890988751748251,8.534152500000001,2.127021256914757,11.506048984883131,3
E14001256,Great Yarmouth,"list(list(c(653770.0213, 652813.5017, 651112.33, 648750.95, 646235.4876, 645647.03, 644583.24, 647306.3039, 647081.322, 646026.2994, 646702.8973, 649029.802, 646710.68, 644107.27, 643022.07, 641515.6985, 640013.2464, 639968.78, 644535.0976, 645789.897, 648142.9299, 649784.17, 649932.545, 651059.7568, 652909.6457, 653751.81, 653512.4495, 653553.0046, 653151.0832, 653154.9725, 653148.73, 653607.2236, 653767.0606, 653770.0213, 299262.8662, 299052.396500001, 300526.23, 301030.09, 298202.202299999, 299701.67, 
300205.09, 303855.601600001, 305223.448000001, 305601.301899999, 306942.398, 308152.001800001, 309859.98, 309018.67, 310543.470000001, 310430.2996, 315224.2916, 317178.07, 319468.102600001, 321396.6006, 322437.534600001, 320398.359999999, 319999.9902, 316973.5573, 311829.7366, 303965.41, 303947.3278, 303209.7519, 301996.088199999, 301979.176200001, 301959.91, 299999.9734, 299316.713300001, 299262.8662)))",East of England,England,"list(c(121947.950457857, 132051.580168676, 152258.839590313, 162362.469301131, 152258.839590313, 132051.580168676, 121947.950457857, 6956412.3664, 6973912.3664, 6973912.3664, 6956412.3664, 6938912.3664, 6938912.3664, 6956412.3664))",0.055518643794797456,0.2803011999677861,0.6641801562374164,Rural,383.8668660678948,70077,102034,13580.211272713015,12168,3,61,15,24.59016393442623,0,0,120,0.019306753,0.632139009,0.017869971,0.096825611,0.123226473,0.020765984,0.0898662,0.4766646900863287,2,19.87218,5.966907,8.461346266666666,7.879191499999999,2.157775310429316,11.530944448281955,3
