PCON24CD,max_nox,min_nox,mean_nox,median_nox,sd_nox,pw_mean_nox,geometry
E14001063,15.85782,7.902339,11.259109,11.050094999999999,1.9394807464070594,12.396318535785637,"list(list(c(485406.9024, 487630.4965, 488599, 488767.2018, 487684.5016, 485534.5, 483745.1021, 483524.1015, 483275.9004, 484465.8767, 483572.5, 483955.6975, 481280.002, 481000.2965, 482010.803, 481513.1971, 480676.1007, 481057.176, 485406.9024, 159918.6031, 157435.104, 154231.65, 151538.8018, 148666.304, 149909.35, 149555.1996, 150221.898800001, 153580.0975, 154368.0066, 155502.4, 156604.1019, 156333.6993, 158773.6009, 159543.1006, 161587.195499999, 162101.2983, 162175.727700001, 159918.6031)))"
E14001064,21.28229,12.63651,15.391595094339623,15.07257,1.9309475749572187,15.76814271746654,"list(list(c(406519.0977, 405782.5005, 407815.34, 407393.7008, 408730.9013, 407442.7012, 405646.5971, 403995.2578, 402830.2434, 403495.3483, 404008.3035, 403278.797, 401935.6023, 402332.5031, 400711.36, 401006.7962, 402738.1023, 403166.4, 403786.91, 404583.39, 405992.0982, 405636.1134, 406519.0977, 305054.2985, 304172.200999999, 301960.57, 300154.900900001, 298576.7027, 296072.8994, 294385.5024, 295854.154100001, 297130.782299999, 297167.616, 299291.4981, 300226.600400001, 300055.7993, 301586.0013, 
304322.66, 304738.898800001, 305007.102, 307217.5, 306510.710000001, 307096.57, 306725.100199999, 305803.342900001, 305054.2985)))"
E14001065,28.52612,9.708755,13.232740603773586,12.5323,3.3660512222633323,14.574044678095664,"list(list(c(379104.0964, 377127.9037, 378831.6961, 381092.7969, 380225.4, 379197.65, 377475.1, 375507.694, 372248.58, 368282.98, 369941.3023, 375596.903, 377279.8024, 379104.0964, 393143.903100001, 390173.5034, 390580.696799999, 386635.0963, 384923.0963, 384549.85, 385671.85, 385255.403999999, 387798.689999999, 388925.199999999, 390805.702400001, 390916.8006, 393552.0963, 393143.903100001)))"
E14001066,16.81334,7.170127,10.657173866141733,10.62806,1.6031846585008633,11.62736196366496,"list(list(c(444868.4023, 444027.1999, 444613.7041, 444901.21, 446573.1073, 444897.9858, 442331.08, 441359.9968, 439771.18, 436120.91, 435652.6006, 437441.3996, 434843.1005, 434383.4961, 436397.2039, 435482.0021, 435885.3999, 437040.599, 441800.7036, 442909.3015, 444868.4023, 353958.0999, 352232.004000001, 350838.203, 348403.15, 345367.3521, 342518.6085, 341929.74, 342947.2018, 342344.699999999, 342960.82, 345740.302300001, 348955.401900001, 350146.401000001, 351940.397500001, 354163.5011, 355907.6019, 
357199.6021, 356414.696699999, 357009.996300001, 354987.5952, 353958.0999)))"
E14001067,10.5604,5.391095,6.24728960239521,6.052262,0.6404576342124098,6.848017193466656,"list(list(c(523813.1968, 524799.92, 524327.69, 524969.65, 523546.2959, 523320.002, 523996.6, 523604.0031, 522856.5966, 522790.9989, 516856.4018, 515159.5022, 515174.5, 514044.399, 513137.16, 511792.86, 511818.13, 510439.2961, 509841.6303, 508722.2038, 506368.6016, 505859.6999, 505010.5988, 505656.2036, 504644.0976, 497609.0982, 495623.201, 496670.2001, 494852.0981, 492610.1011, 492030.9021, 492578.4978, 488960.4001, 490033.4041, 487206.6014, 487213.0985, 485506.8985, 484094.9978, 482974.898, 481576.2965, 
480703.3012, 478047.6989, 475199.0963, 474419.3031, 475135.9968, 476740.7001, 477745.3031, 477452.8013, 480516.6, 480680.6025, 481565.49, 482339.4, 484340.22, 485500.9, 487381.75, 491403.7992, 492049.2968, 496088.1977, 498063.08, 499719.2979, 502419.5966, 502688.4021, 504773.2977, 505688.4543, 506715.956, 506333.4034, 506929.2987, 506383.5994, 507152.5008, 506995.5973, 506293.3984, 504597.1997, 504156.6991, 508116.8019, 509405.6039, 511037.2026, 511044.9034, 511878.1988, 511525.5987, 512096.0993, 
512130.1019, 513067.3015, 512823.3961, 513712, 515000, 515973.22, 518615.2959, 519450.1001, 521866.9996, 523813.1968, 118212.001499999, 118057.51, 116637.939999999, 113982.15, 113456.602700001, 109635.996300001, 109075.196900001, 108612.2994, 109455.9979, 108429.1018, 108324.501700001, 109610.8035, 111163.4991, 110817.4981, 111655.619999999, 110100.52, 110872, 111537.001399999, 109834.6938, 111959.201300001, 109322.596000001, 106396.603599999, 105504.5989, 105064.7049, 103987.303300001, 104867.601299999, 
102496.5, 101264.8026, 101398.304300001, 103220.002900001, 105844.401699999, 106955.703600001, 106850.9036, 110461.4001, 111059.298900001, 113224.699100001, 116278.195, 116035.704399999, 117670.196599999, 115050.6964, 117708.895500001, 115928.595100001, 115637.398499999, 116472.6994, 116781.800899999, 122217.504899999, 123178.1, 125307.100500001, 127903.1974, 129517.7952, 130631.720000001, 129767.08, 130044.5, 131821.699999999, 132640.550000001, 131048.3971, 131507.295700001, 133080.195499999, 132078.449999999, 
132888.9003, 132427.202400001, 133717.5031, 133167.9004, 133874.110400001, 130783.171, 129701.002800001, 129665.1031, 127942.1962, 127163.599099999, 125726.1006, 124504.500299999, 124234.0977, 123022.4045, 123030.902100001, 122068.297599999, 124174.3048, 122405.101199999, 122186.3039, 120543.704, 120653.002800001, 119543.500299999, 119531.7037, 118194.5965, 116949.6, 118150.4, 117147.35, 117847.195900001, 116684.4987, 118898.395, 118212.001499999)))"
E14001068,17.19889,8.829127,11.84831340952381,11.48408,1.8638612738077798,12.823964053501767,"list(list(c(455808.9965, 455123.7989, 456051.6981, 451927.502, 451803.1005, 449871.3949, 448040.302, 446793.5993, 444613.7041, 444027.1999, 444868.4023, 446786.5992, 446350.8972, 446923.2034, 445476.3024, 445330.68, 447508.09, 449926.4999, 450772.303, 451565.7005, 452647.502, 451646.7989, 451705.1987, 450858.9998, 450943.0005, 455808.9965, 357962.2038, 357827.802200001, 356554.4967, 354059.800799999, 350797.8046, 349551.1808, 350344.0045, 349626, 350838.203, 352232.004000001, 353958.0999, 354779.005000001, 
355728.0033, 356320.9036, 359488.9967, 363012.529999999, 364045.220000001, 363329.6973, 364821.3004, 364873.5954, 363507.6964, 363184.098999999, 361975.095100001, 362029.399599999, 360538.1964, 357962.2038)))"
E14001069,17.49879,7.109963,8.226470809523809,7.639231,1.401275158411372,10.112848044861456,"list(list(c(620103.11, 619884.6983, 620895.4026, 621784.8963, 624583.2041, 622022.7993, 623864.0039, 624323.7979, 619749.7019, 618468.0978, 616821.8, 615861.6, 613478.5002, 613012.2997, 612747.4024, 610174.98, 609916.79, 609018.54, 608249.53, 606851.2, 605666.21, 604711.56, 602822.6986, 602900.499, 601643.0147, 601500.2, 597790, 599297.498, 598474.7976, 598419.0032, 600430.28, 603535.0966, 604032.0017, 605089.3978, 606111.3979, 607461.0979, 609005.0021, 610050.5006, 612547.0968, 613560.3984, 613728.5976, 
616103.9997, 617355.03, 617950.4, 617845.442, 620103.11, 146702.16, 145423.4023, 144763.601199999, 145210.903100001, 144280.0996, 140933.5975, 140290.1017, 138245.497, 138360.704, 136275.7008, 136526.300000001, 138424.199999999, 136814.0967, 137433.599400001, 136189.4955, 137081.25, 135610.619999999, 136651.710000001, 138412.4, 137726.23, 138276.66, 136850.4, 136642.8957, 138861.6006, 139708.223200001, 138423.6, 141150, 142652.195599999, 143129.9988, 144334.504000001, 145674, 145552.395400001, 148016.699999999, 
147921.6972, 149236.001, 147811.898600001, 147754.395099999, 146602.2049, 146942.5974, 147697.601299999, 149532.596100001, 147851.397299999, 147676.43, 148743.6, 147791.002900001, 146702.16)))"
E14001070,25.4311,12.81611,18.986634838709676,19.18623,2.9787841324158544,19.578755568763558,"list(list(c(393565.7027, 390174.4019, 390147.3993, 388881.9968, 389645.7039, 391065.8991, 392159.2025, 393989.3999, 395995.5964, 396469.3989, 394885.5968, 395252.4031, 393565.7027, 396317.2048, 395985.499700001, 397139.599400001, 399101.5978, 399754.101, 399475.7007, 401009.001800001, 402662.5984, 402849.095000001, 401608.600099999, 397848.0966, 397233.9024, 396317.2048)))"
E14001071,12.51015,6.48635,7.8717166766169155,7.827961,0.9706759439903309,9.561234868993727,"list(list(c(489373.8981, 489920.1005, 491371.8001, 492284.12, 492870.76, 495068.8031, 497615.3974, 500865.2, 500459.48, 499773.53, 499280.8997, 497872.3959, 494321.1987, 491965.18, 489970.71, 490154.03, 488227.25, 486553.6008, 488073.1985, 489057.4032, 490745.497, 490430.4038, 491633.28, 490318.9965, 486858.96, 486283.51, 486833.52, 485937.0021, 483928.497, 481575.9007, 478614.8, 480906.85, 480615.6974, 480058.8013, 479380.8016, 478668.7994, 478978.7, 478335.37, 480022.0036, 482480.1036, 482579.6, 
483175.9, 485091.603, 487244.2978, 489373.8981, 224192.7049, 223268.999299999, 223418.896400001, 222624.42, 221778.960000001, 221668.0975, 220030.1964, 215771.9, 214996.48, 215225, 215585.6986, 212979.5046, 214362.4987, 213858.199999999, 216637.42, 218413.83, 218280.880000001, 216238.1018, 214007.500299999, 214332.5973, 212098.3968, 211219.7983, 208586.93, 207477.1996, 211822.1, 211190.35, 210041.050000001, 209215.402100001, 211579.6953, 211080.698100001, 214739.699999999, 215436.050000001, 217716.6986, 
218077.895199999, 217259.6994, 218457.996400001, 219790.41, 220420.199999999, 222715.4977, 222800.0035, 222015.199999999, 223353.1, 223498.003699999, 225719.5978, 224192.7049)))"
E14001072,14.71115,4.04531,5.626189153398058,5.301459,1.2655260791461336,7.610518100332715,"list(list(c(451341.204, 451613.14, 449948.1, 446608.9017, 446822.2014, 448239.4037, 447211.2034, 449635.4987, 448930.74, 449363.123, 452176.4039, 455000.0982, 453745.8018, 452678.0994, 448652.9305, 448381.14, 449250.9985, 446535.0012, 445979.0037, 444724.6991, 442555.2009, 439477.5999, 440813.5865, 439979.3036, 439488.2031, 438925.1973, 438896.9003, 436226.696, 433106.15, 432139.6, 431668.31, 429672.494, 430384.1962, 429244.4979, 426656.9999, 425330.3036, 424473.3037, 426550.8035, 425351.3037, 423282.7993, 
423049.2002, 426736.004, 428149.7022, 427550.3028, 428907.9015, 431033.76, 430499.1983, 432760.1013, 434424.51, 435899.4001, 437965.2001, 437835.3981, 439835.1965, 442201.0013, 444086.8034, 443175.7984, 441636.6021, 443479.2991, 444673.8023, 445790.299, 451341.204, 245116.195599999, 244420.800000001, 244641.699999999, 243401.296499999, 242613.801899999, 242419.897399999, 239450.7973, 235338.6044, 232599.470000001, 231439.907099999, 232252.197899999, 231353.795, 230540.697799999, 227046.797900001, 
227427.284, 226543.289999999, 225339.796499999, 225101.4047, 222193.797, 222508.197000001, 224852.096100001, 223165.698799999, 219648.4438, 219940.801899999, 218384.5974, 218610.1029, 216363.9958, 215615.300100001, 215596.35, 216327.689999999, 218782.16, 220862.278000001, 222433.1985, 222703.801000001, 220683.8992, 222400.097999999, 224921.8961, 226643.903200001, 228636.402899999, 229555.4998, 232166.4024, 228615.9987, 230297.2974, 231016.001700001, 230584.7951, 231470.67, 232669.8983, 232941.8005, 
240700.02, 244906.695499999, 244507.5998, 246554.7038, 246748.6983, 244154.7008, 244967.998, 246764.603700001, 246910.402000001, 248829.602600001, 248735.2996, 252455.4047, 245116.195599999)))"
