year,model_run,gini,slope,cv,mean_emission_Q1,mean_emission_Q5,se_Q1,se_Q5,q1_q5_ratio,absolute_gap,se_ratio,se_gap,ratio_ci_lower,ratio_ci_upper,gap_ci_lower,gap_ci_upper
2023-01-01,BUS_only,0.1392611835766525,-0.522346349105921,0.2807170242691552,3.867084996039536,1.9203654873662346,0.24815596690934072,0.08696554625623731,2.0137234403973854,1.9467195086733013,0.15816095678999023,0.2629532090474569,1.7037279650890045,2.3237189157057663,1.4313312189402858,2.4621077984063167
2023-01-01,ECO_only,0.1390773493555299,-0.5217511371228379,0.28036844175494546,3.8665304813349026,1.9222429378624437,0.2482189337584926,0.08700711607068107,2.0114681683442828,1.944287543472459,0.1579995097740772,0.26302638142045737,1.7017891291870915,2.321147207501474,1.4287558358883625,2.4598192510565555
2023-01-01,present_day_scenario,0.13920476721428782,-0.5221637367880697,0.28061005142625167,3.8669146223566555,1.9209403248855212,0.24817519960973666,0.08697836796643493,2.013032144862233,1.9459742974711343,0.15811151109337998,0.26297560000014675,1.703133583119208,2.3229307066052574,1.4305421214708467,2.461406473471422
2023-01-01,suitability_probability,0.13910944360717875,-0.5216490030062549,0.2804297139497831,3.8647963156666014,1.9208991384017295,0.248065583736984,0.0869335267298126,2.01197253848647,1.9438971772648719,0.15801354452698446,0.26285732233372094,1.7022659912135807,2.3216790857593597,1.4286968254907788,2.459097529038965
2024-01-01,BUS_only,0.13950721980092542,-0.5227084009647827,0.28119316013621165,3.864774937261274,1.9164967214294195,0.24806368765334583,0.08690232051833063,2.016583119630244,1.9482782158318546,0.15847737206630638,0.26284521384961035,1.7059674703802836,2.3271987688802045,1.4331015966866183,2.4634548349770906
2024-01-01,ECO_only,0.13900419565964625,-0.5210736193512174,0.2802394050995686,3.863173192578349,1.9215789550095017,0.2482361615159926,0.08701592731733886,2.0104160604523518,1.9415942375688473,0.1580392974205082,0.2630455540226642,1.7006590375081556,2.320173083396548,1.4260249516844254,2.457163523453269
2024-01-01,present_day_scenario,0.13935453942511203,-0.5222143592500741,0.2809036782908324,3.8643066836176594,1.9180465769584298,0.24811614786698863,0.08693686718568003,2.014709512292209,1.9462601066592295,0.15834362206206412,0.2629061461974861,1.7043560130505633,2.325063011533855,1.430964060112157,2.461556153206302
2024-01-01,suitability_probability,0.13909460595367235,-0.5208148021005449,0.2804118759003901,3.8585623516559955,1.917947261036643,0.2478191333949541,0.08681531794360428,2.0118187971292065,1.9406150906193524,0.15807625922744745,0.2625856475633715,1.7019893290434096,2.3216482652150034,1.4259472213951443,2.4552829598435606
2025-01-01,BUS_only,0.13975871537459988,-0.5230750018526765,0.28167996691950925,3.862397073504778,1.9125405816047714,0.2479687937404296,0.0868367352586978,2.0195111730721678,1.9498564919000065,0.15880149042036115,0.2627339743152242,1.70826025184826,2.330762094296076,1.434897902242167,2.464815081557846
2025-01-01,ECO_only,0.13892320124633617,-0.520343053866595,0.2800959452591432,3.8595277582662435,1.9208520200967292,0.24825451914432783,0.08702549376804417,2.0092790688123325,1.9386757381695143,0.15808301745231773,0.2630660427367115,1.6994363546057898,2.3191217830188755,1.4230662944055599,2.454285181933469
2025-01-01,present_day_scenario,0.13950858763966564,-0.5222652929899015,0.28120577579782785,3.8616132737101294,1.9150672842727345,0.24805509245866703,0.08689361685158528,2.0164373886093587,1.9465459894373949,0.15858289327173697,0.2628342244537951,1.7056149177967543,2.327259859421963,1.4313909095079564,2.4617010693668333
2025-01-01,suitability_probability,0.13907919306818411,-0.5199609922189365,0.28039327700529465,3.8521860372210885,1.914931561395176,0.2475663131462373,0.08669481602674586,2.0116572909866672,1.9372544758259125,0.15814014648363023,0.2623072064025923,1.701702603878752,2.3216119780945825,1.4231323512768315,2.4513766003749935
