year,model_run,mean_emission_Q1,mean_emission_Q5,median_emission_Q1,median_emission_Q5,p25_Q1,p25_Q5,p75_Q1,p75_Q5,abs_median,abs_p25,abs_p75,rel_median,rel_p25,rel_p75
2023-01-01,Current trends persist,3.8669145252761092,1.9209402061332106,3.1005600700455034,1.6230974655765622,2.5976808340322606,1.2457371178209156,4.144085443999399,2.3313724906406765,1.4774626044689412,1.351943716211345,1.812712953358722,1.9102734960799854,2.085256027833713,1.7775303863436154
2023-01-01,Suitability-driven uptake,3.8647960130110426,1.920900803803418,3.100300554130612,1.62209825435888,2.5957809974169805,1.246087768734581,4.141667926665361,2.331167777101408,1.478202299771732,1.3496932286823995,1.8105001495639534,1.9112902352243628,2.083144592658213,1.7766494403998425
2024-01-01,Current trends persist,3.8643055254838123,1.9180472176756316,3.0952989746799773,1.6211544891937517,2.5960864868389892,1.2429238304644832,4.141949927578581,2.328850874150304,1.4741444854862256,1.353162656374506,1.8130990534282776,1.9093177086530237,2.088693146923433,1.778538065083192
2024-01-01,Suitability-driven uptake,3.858561917299223,1.9179512763923126,3.0946147963589,1.6184528900401962,2.590925218031318,1.2439377998394243,4.13541848614512,2.3283000219924608,1.476161906318704,1.3469874181918935,1.8071184641526594,1.9120820972935713,2.0828414558716455,1.776153608677203
2025-01-01,Current trends persist,3.861611189714403,1.915068208975044,3.089872732823157,1.619146567609594,2.5944309278885633,1.2397385014734232,4.139741662142065,2.3262527151154733,1.470726165213563,1.35469242641514,1.8134889470265914,1.908334177173874,2.092724332433892,1.7795752091950041
2025-01-01,Suitability-driven uptake,3.85218458261671,1.9149358172362805,3.0887874844517933,1.614733706660434,2.5859651189090713,1.2414377278033233,4.129026301460782,2.325372585685377,1.4740537777913594,1.344527391105748,1.8036537157754053,1.9128773194683435,2.083040543229533,1.775640741134737
2026-01-01,Current trends persist,3.8593217416853656,1.9125465144599403,3.0852722234228094,1.6174446815849672,2.5930188358819564,1.2370433950158999,4.137852941601167,2.3240530582800676,1.4678275418378421,1.3559754408660565,1.8137998833210998,1.9074978319502636,2.0961421776546714,1.7804468477425448
2026-01-01,Suitability-driven uptake,3.846826472054389,1.912402519783961,3.083903866780655,1.6116121564098291,2.581796469700071,1.239342822114383,4.1236462234078965,2.322909214327477,1.472291710370826,1.342453647585688,1.8007370090804193,1.9135521251283152,2.0831979849573767,1.7752076568355102
2027-01-01,Current trends persist,3.85609099926655,1.9089928961530052,3.078784325550524,1.61504265186286,2.5910279923519823,1.2332412079105506,4.13519253072039,2.320944929388104,1.463741673687664,1.3577867844414317,1.8142476013322861,1.9063176579264463,2.1009904435012317,1.7816848984049767
2027-01-01,Suitability-driven uptake,3.8393212884130827,1.9088554932902595,3.0756004700094337,1.6072339811379677,2.5759600847905118,1.2364030467545524,4.116124982893524,2.3194692727706174,1.468366488871466,1.3395570380359594,1.7966557101229066,1.913598459280845,2.0834307158593446,1.7745977630377454
2028-01-01,Current trends persist,3.8515213453555472,1.9039896060627328,3.0675204475459026,1.6116406730328094,2.588214930354824,1.2278992792514536,4.131443638471415,2.317168982932545,1.4558797745130931,1.3603156511033705,1.8142746555388705,1.903352588994541,2.107839766737741,1.7829703698358568
2028-01-01,Suitability-driven uptake,3.8288433547786083,1.9039042172298073,3.0630862888768915,1.6011260584607785,2.567810561898365,1.2322960566091898,4.105621766283132,2.3146641667408874,1.461960230416113,1.335514505289175,1.7909575995422449,1.9130825288182176,2.083761080080061,1.7737440382394496
2029-01-01,Current trends persist,3.84493205440613,1.896813963029492,3.054631343475168,1.6067503342293796,2.5841525476752034,1.220474958728863,4.126008621378583,2.311383090196148,1.4478810092457883,1.3636775889463404,1.8146255311824349,1.9011238263972186,2.1173335259304493,1.7850821176633436
2029-01-01,Suitability-driven uptake,3.813993273347285,1.8968890417515223,3.0453824998206174,1.5924773214341394,2.556262975763148,1.2264878147965246,4.089542516297219,2.3078518595638733,1.452905178386478,1.3297751609666233,1.7816906567333457,1.9123553339384658,2.0842139195547036,1.77201257496226
2030-01-01,Current trends persist,3.835364135147353,1.8864777697325708,3.046855176077341,1.599667054825224,2.578220364895119,1.2117228206069979,4.115624900964662,2.2971713208279847,1.447188121252117,1.366497544288121,1.8184535801366777,1.9046808314810442,2.1277311288101273,1.7916055557759796
2030-01-01,Suitability-driven uptake,3.7929595794795525,1.8869599201559026,3.0203212919357623,1.580250809000827,2.5399124601529595,1.2198267274084926,4.062350930725456,2.2982123428399364,1.4400704829349353,1.3200857327444668,1.7641385878855198,1.9112923560820538,2.0821911859145548,1.767613398901838
2031-01-01,Current trends persist,3.8213467655665685,1.87151960220218,3.0401444978320407,1.589323296800389,2.5517049523283775,1.1990735264184582,4.096668923953884,2.2765910950383046,1.4508212010316517,1.3526314259099192,1.8200778289155797,1.9128546746608646,2.1280637893408647,1.799475071690446
2031-01-01,Suitability-driven uptake,3.7632006404176845,1.8729263000343708,2.9848808682034442,1.5629702321755512,2.5162796492388515,1.2117393273650745,4.023856784803759,2.284579833747342,1.421910636027893,1.304540321873777,1.739276951056417,1.9097490193710775,2.0765849489349315,1.761311522304529
2032-01-01,Current trends persist,3.800365367314826,1.8495341446207385,3.029991811187859,1.5738829390339708,2.5067323265931716,1.1803272835531633,4.068116169902884,2.2463206714228594,1.4561088721538882,1.3264050430400083,1.8217954984800242,1.9251697416884315,2.123760385379811,1.8110131031853376
2032-01-01,Suitability-driven uptake,3.7206753480826644,1.8528981693599813,2.951035248839639,1.5457301437470081,2.481510569612403,1.200221775529608,3.9688860932517125,2.264445093053153,1.405305105092631,1.281288794082795,1.7044410001985595,1.9091529402965692,2.0675433659062015,1.7526969876317293
2033-01-01,Current trends persist,3.7685449803746036,1.8171416121784907,3.0143170535152572,1.5470605672540942,2.471240474650391,1.1512886637584505,4.024404319163073,2.201644474505234,1.467256486261163,1.3199518108919404,1.8227598446578392,1.9484156711882477,2.1464994422709585,1.8279083502196511
2033-01-01,Suitability-driven uptake,3.6599925128345685,1.8243818699302443,2.9040264375309026,1.5240925561791554,2.4320182615578583,1.1844850039341153,3.8904681287621647,2.230773445004736,1.3799338813517472,1.247533257623743,1.659694683757429,1.9054134381518084,2.053228410220662,1.7439996596130833
2034-01-01,Current trends persist,3.7291862307095673,1.7789951301224338,2.9877962117914136,1.5087654446426817,2.4320304308695686,1.1201881187885974,3.9695251565863447,2.150018565980566,1.479030767148732,1.3118423120809712,1.8195065906057786,1.9802920476476105,2.171091078433892,1.846274827294782
