PCON24CD,avg_exposure_pop_weighted,total_population,total_nox,n_cells
E14001063,2.6472250232972034,112141.23831939697,96.40016745666799,56
E14001064,1.6320550248709365,92574.47480773926,62.46156678162515,53
E14001065,3.359720597223672,101679.99527740479,106.56762825138867,53
E14001066,1.469887907292169,92099.65912103653,71.40133690391667,127
E14001067,0.6843432535749997,98005.93519619107,96.40892468695529,724
E14001068,2.4391841800709506,98354.17099666595,117.25120056417654,101
E14001069,1.8309411923269852,107385.92539978027,92.90440023480915,223
E14001070,3.095098382094511,99570.58536911011,74.48351196199656,31
E14001071,2.5745740647341115,106281.12283694744,104.27114563298528,177
E14001072,1.8656232069499905,101040.91906529665,110.54893239667581,451
E14001073,4.019586970849748,130578.99758911133,68.69422936439514,19
E14001074,2.911681188676636,99001.47623443604,113.53315986791858,69
E14001075,1.6041208986972704,107313.37272453308,64.02657311889925,76
E14001076,1.8532423946367218,92382.48875668645,79.45241219259333,364
E14001077,2.440679258145607,116560.88374519348,89.73493978509214,63
E14001078,3.1122083523932274,93651.12312984467,88.48369065328734,65
E14001079,1.8314052446771398,103670.66829650104,132.4322717143259,313
E14001080,3.5595666010080476,99630.37162661552,93.07464727235492,74
E14001081,8.786774058023326,122844.4521484375,93.5534029006958,11
E14001082,1.6790285520586021,114074.24229347706,125.27474660243024,165
E14001083,3.3541383063429038,102839.46337890625,66.33746314048767,22
E14001084,3.58951716546511,100483.75043487549,89.73079037666321,29
E14001085,15.96285613151403,108682.71875,196.5522723197937,10
E14001086,13.212137059723416,73741.919921875,51.695128440856934,4
E14001087,1.6227128080148343,93095.1591701135,94.09905038982106,565
E14001088,1.2497228224422228,91755.13362556696,75.18145939057285,431
E14001089,2.910542227192188,99019.0941696167,57.59326823428273,22
E14001090,1.4648372897486985,102307.05566877127,95.00198986767646,392
E14001091,2.6799944850152944,103113.32320404053,70.39267568103969,30
E14001092,3.5469590222339225,128098.58190917969,101.99076640605927,32
E14001093,3.038866295115466,118888.64376831055,79.24750018119812,25
E14001094,4.636933851999153,120490.71533203125,80.77915561199188,20
E14001095,3.3712550684356777,107628.083984375,69.21034872531891,21
E14001096,11.007667304307137,142718.8865966797,280.5291860103607,25
E14001097,3.4463040049238773,100175.26623535156,94.51519206166267,25
E14001098,4.327993744499709,125965.82652282715,92.98253600788303,24
E14001099,2.650933571084009,93975.77587890625,48.98194122314453,20
E14001100,3.0104814577927455,100417.56884765625,52.98561334609985,18
E14001101,1.5757338043787585,91396.94132654369,96.85638178692898,686
E14001102,3.3273559947842446,108644.41902542114,81.55452958587557,41
E14001103,3.043303759517302,111643.35135650635,73.67704518139362,28
E14001104,2.7475251953418396,87860.74855232239,73.85695805214345,34
E14001105,3.6597469700445364,97378.21276855469,86.35184645652771,24
E14001106,1.4147266568244354,87697.24412536621,62.77302117279032,108
E14001107,2.1537174502064524,99845.49304389954,66.9818162175361,79
E14001108,2.121568794524476,101385.82371115685,62.414270161651075,48
E14001109,1.136091996737415,98574.2978656292,97.94672774680657,208
E14001110,2.7771273890903525,107894.76420974731,71.70791301876307,39
E14001111,3.0839594850863126,122427.1898727417,78.5735747582512,35
E14001112,2.137386070464565,97869.47425103188,105.0953371591022,74
E14001113,3.7798308613382456,88522.0339050293,76.69281956553459,22
E14001114,1.437794124703891,114492.93354772031,101.07520504438435,691
E14001115,3.08659479554437,104669.30907735229,63.394135512411594,25
E14001116,3.9979987688504273,106933.5678100586,87.65286384522915,27
E14001117,2.4169128873295325,103779.18969488144,85.13851666923438,41
E14001118,4.119933007662856,110338.37217330933,82.76891183224507,27
E14001119,3.0343037411164078,111512.77373504639,102.92903361376375,44
E14001120,5.667790166682996,124378.90579223633,131.0808918159455,37
E14001121,1.3092823017594462,105220.55674874783,73.75623388928943,489
E14001122,5.516166077330568,129993.13757324219,88.77058100700378,16
E14001123,5.889691199403361,142186.86096191406,110.93417990207672,20
E14001124,5.887328853142774,127156.41945648193,101.13517549261451,24
E14001125,1.5398373213929706,98207.89453554153,88.16092113293416,301
E14001126,1.9938438753786487,97899.92333936691,100.78303726098966,253
E14001127,1.4451506443251114,89324.27142488584,87.37432701639045,683
E14001128,1.082191924515314,91636.78490450978,84.31074126133171,379
E14001129,5.26989866156674,96882.20936203003,89.76690022274852,39
E14001130,6.753480285734583,96806.60897064209,68.32215007487684,23
E14001131,11.154564093292427,97424.98486328125,132.6013491153717,12
E14001132,4.127527467183936,94655.98431396484,63.87586760520935,19
E14001133,2.6051063959733503,102071.39758300781,51.945162773132324,21
E14001134,2.612038111337312,112010.86797523499,101.14261705055833,44
E14001135,2.7414707803637777,99259.31805419922,58.50650763511658,22
E14001136,0.6386769771853616,95845.84484244138,76.01473141818133,619
E14001137,3.0530605162129167,105202.40421676636,79.61129308614181,48
E14001138,1.3912198031503877,109955.71169400215,90.48487388982903,215
E14001139,2.3104428311834644,110823.15060806274,86.61368645913899,83
E14001140,2.1439962123207152,91473.05753135681,75.35969274208765,60
E14001141,1.530158400186897,107635.0327270329,85.60903024344589,361
E14001142,2.8788676100587405,108904.89827242494,93.51025258746813,93
E14001143,2.577199134560435,108751.33936464787,129.08430161545402,235
E14001144,2.232756734154957,100196.70938968658,79.22577378340065,57
E14001145,2.8836850602570436,115438.75894737244,86.81950673938263,47
E14001146,2.035776493660901,99176.30988639593,162.30233313216013,347
E14001147,1.458039422520621,103650.84091129899,93.31723341433099,217
E14001148,1.178805085063516,95772.26218390465,76.43169818376191,265
E14001149,6.203319459086239,128502.81637573242,163.60490999370813,34
E14001150,1.9876913295318313,94258.24706672132,69.86169924630667,69
E14001151,2.591598761540333,106151.53618311882,107.18418791788281,215
E14001152,2.960160124660047,100647.47236186266,133.57604135369183,618
E14001153,3.020003454491211,92489.25520324707,53.16351470351219,22
E14001154,1.8917074131405813,87279.04938054085,55.66637431093841,49
E14001155,0.5671450550027547,93518.84537953883,90.75234876104514,1253
E14001156,1.0518262626388544,87755.85749971867,69.49856142043427,523
E14001157,2.12005345468915,104757.6491060257,63.82658387883566,54
E14001158,2.7492645101704345,100561.15216064453,89.74673892604187,41
E14001159,2.9609504120080246,98294.16647338867,73.60972257331014,30
E14001160,12.41218007385015,96644.4892578125,99.81791019439697,8
E14001161,4.037512031976058,99617.85627555847,92.78521963581443,36
E14001162,1.6869368741997428,96679.08470106125,90.34632301823876,139
E14001163,3.2592084047256447,89887.47026574612,111.2393614104949,101
E14001164,0.8489000074997072,101717.08060067892,119.3685554176991,716
E14001165,2.3025722848946635,89601.28089523315,83.19910908825113,46
E14001166,1.6602373964808539,99203.12016943097,99.70291568318498,259
E14001167,3.2220646225619802,115745.47403717041,68.21036064624786,25
E14001168,1.5413110405379722,94600.05097436905,73.81479325724649,236
E14001169,3.005705728282585,124202.514503479,84.24950702674687,39
E14001170,2.0623842129650036,101847.20386219025,85.37391780863982,119
E14001171,1.3348542811599358,84253.87815928459,63.311980932805454,105
E14001172,47.691645236256335,148544.08349609375,1144.3437163829803,20
E14001173,2.700449509226022,101738.94058990479,124.33235738941585,198
E14001174,1.4804430083073745,94093.63538634777,63.34274145454401,177
E14001175,8.454630094399365,109912.6240234375,66.7065019607544,8
E14001176,2.61309832392242,113351.35177230835,79.95876686998236,40
E14001177,1.7640961688016403,99672.35702461004,74.32834816224931,130
E14001178,1.5871833109873006,89585.16326570511,80.1026091493477,211
E14001179,1.7568005238672106,111607.35219675303,103.91266319376882,366
E14001180,2.6500289356191753,115601.03176879883,70.29246136546135,28
E14001181,3.9537465302539716,111429.51074123383,112.20200387388468,39
E14001182,4.825870071408202,117185.7740020752,122.92037156224251,33
E14001183,1.5728957481726837,99335.4772258699,72.36897763697198,91
E14001184,2.6771865261055443,110434.39331626892,107.32748567979434,45
E14001185,2.609276447988257,108000.68905949593,115.82831832335796,92
E14001186,2.8995988754916726,88954.7688293457,45.752401093021035,24
E14001187,2.263985454380862,97678.85661315918,62.71866047382355,37
E14001188,8.825861514900954,133980.38891601563,124.53744912147522,16
E14001189,2.4892867216377645,104090.93505001068,49.25274594602524,37
E14001190,2.9200037968929755,91418.9216426611,80.50820515234955,106
E14001191,2.682201828948217,106265.3193769455,110.3694829926826,60
E14001192,0.9767199019179398,113818.8364135027,140.3372561741271,640
E14001193,3.0994758384990884,113177.12426757813,84.49409791827202,30
E14001194,2.9902606320120197,104770.56413269043,79.49841266870499,31
E14001195,0.9387260517603855,88729.89198228344,111.33579228141753,783
E14001196,2.814827361089552,95353.23643112183,76.26253861922305,55
E14001197,1.251564599271401,107477.5457726717,97.35013512222213,317
E14001198,2.247976737178965,115728.65132570267,122.99079914657341,100
E14001199,1.2517258906398467,90940.59357768297,90.78715998410189,313
E14001200,1.2810078178487072,99356.01004767418,63.545728037184745,210
E14001201,1.4699429717387784,92700.35566687584,80.2161054739554,273
E14001202,1.6989414819501907,101854.62640883029,72.62127574726765,209
E14001203,1.4198574464067861,98975.07813966274,135.88180847597687,383
E14001204,2.4519181619387096,96276.82666015625,63.255445659160614,27
E14001205,6.221333468400214,119179.23071289063,79.72875666618347,15
E14001206,3.1273563425469133,98743.43631589413,114.76761099326541,72
E14001207,5.942805581556068,114809.49670410156,118.64009630680084,19
E14001208,2.8935390511481685,105144.80737304688,53.69082114100456,21
E14001209,6.004846357849288,113004.01586914063,86.63473165035248,15
E14001210,2.298102582157189,111260.64070796967,99.42796727962559,48
E14001211,1.4533526931714493,92595.2498613596,73.33548326301388,144
E14001212,1.2603079267030666,98948.0190141201,96.25012212678848,379
E14001213,6.447479207317524,130136.61865234375,55.771566331386566,10
E14001214,1.1501527255037214,96788.94491392374,81.28259855281794,446
E14001215,1.1247257159867026,96260.01502561569,81.51448398441426,253
E14001216,2.73044956599269,99618.39513397217,67.24534881860018,33
E14001217,1.0527698926629463,109448.59031239152,118.24384717132489,643
E14001218,2.952013088664662,97448.37448978424,70.75051784521202,42
E14001219,3.1551688805337466,95697.01594567299,81.2820785556105,38
E14001220,1.9851234155277795,89530.88789749146,64.46225296519697,49
E14001221,4.315702979087929,121984.19770812988,74.14558912507619,20
E14001222,2.2237887546387745,93956.60311889648,77.76942187297391,39
E14001223,2.7391869192441014,114451.69223022461,70.16909670829773,29
E14001224,1.0182858376514226,108241.18699610233,94.88002897627302,569
E14001225,3.4974506241814827,133388.81301498413,97.93368811858818,44
E14001226,1.9666160340173153,97978.81410646439,82.39397813445248,121
E14001227,2.4331265298012856,104385.53514575958,95.59890317125246,58
E14001228,2.152062087879219,94743.55147266388,66.33885819697753,63
E14001229,3.8499721021634623,130110.25344848633,93.48170854151249,25
E14001230,2.2495388316889366,99552.03594207764,75.66663618758321,46
E14001231,3.97533567997974,101212.22140693665,95.79839242924936,33
E14001232,1.715128445443304,94641.81399223208,95.8481539899949,225
E14001233,1.8604667134601345,92898.5370786488,70.22533179586753,93
E14001234,1.2660817754546523,102676.69189119339,89.49981164740166,169
E14001235,1.4754447835939006,104612.57458889484,109.94191587406385,358
E14001236,3.4097693853273348,143255.6968383789,90.78484836220741,29
E14001237,2.340226700661268,107152.41305541992,98.15668585151434,45
E14001238,5.176870497485232,115774.51782226563,95.35549354553223,20
E14001239,2.0347722161395385,88413.94557139277,65.8107827611384,187
E14001240,0.6845537434298866,90724.10210344195,76.07147268718109,545
E14001241,1.0711833619368578,94773.90053069592,76.5871513702732,463
E14001242,1.9079832046489815,95467.06497001648,89.85503959590278,166
E14001243,0.841753651182325,96777.07357895374,97.33044467537547,885
E14001244,3.278808942785796,96347.23540210724,108.40643638558686,43
E14001245,2.326240734752905,107304.57288908958,76.17872589128092,66
E14001246,3.8236754813597216,98047.58388710022,65.42263771872967,29
E14001247,0.903178099721042,90925.69580152631,89.74634346438324,603
E14001248,2.6811566867753527,112531.33749389648,79.30582010746002,34
E14001249,1.138744949458766,93333.2408618629,86.44886952271918,325
E14001250,1.5505894499068948,100253.15141907334,117.32986554036324,577
E14001251,3.0019558105724586,108506.30102539063,56.19868767261505,21
E14001252,2.07558890596995,93409.09407806396,58.731221643742174,35
E14001253,1.5019708432999814,99034.4914361909,90.1642549499229,549
E14001254,2.092339425107193,103707.46039295197,62.75973484064161,92
E14001255,3.5159153111180443,102860.20903396606,95.16056682652561,34
E14001256,2.127049654520018,95819.53648281097,85.04040528749465,153
E14001257,6.782641279472743,90727.348876953125,85.05644345283508,13
E14001258,2.926542956947509,104174.35062408447,106.64569633640349,129
E14001259,7.782202416433844,136877.0785522461,75.70784448087215,12
E14001260,13.57079348886225,95046.09765625,84.148850440979,6
E14001261,2.35460019616448,91407.48024749756,63.668986573815346,29
E14001262,2.596773089496125,105750.67196369171,85.78365319641307,62
E14001263,1.485669082198643,108666.4695084095,94.7056531663984,93
E14001264,14.511300911268318,149717.83056640625,212.19144439697266,16
E14001265,10.86707618359092,122671.16506958008,136.89080488681793,16
E14001266,2.264148769419704,100105.59744000435,82.34722201088152,147
E14001267,2.2984012194833556,109638.22759497166,106.19771903683431,146
E14001268,1.8181362279176445,104839.06712380052,91.22286376499687,237
E14001269,3.1337031490786478,99320.38681459427,103.66353980149142,121
E14001270,3.505115369625826,110189.47857666016,69.93648114800453,25
E14001271,4.729983225280924,146467.1932373047,89.96322298049927,21
E14001272,2.8163813105748265,90020.40029478073,86.57180318752944,86
E14001273,1.0865302288786822,96664.98015260696,75.52845337854524,297
E14001274,2.4644819586233826,94454.99561220407,65.89309422683436,116
E14001275,1.8118537664638816,90464.74744987488,56.15219948347658,46
E14001276,3.3311674890438696,131211.3212070465,149.4988032579422,41
E14001277,2.1620379211746674,92941.90868377686,75.57372441142797,60
E14001278,3.4172371270687223,95235.29073429108,124.17375085107051,58
E14001279,5.067747168816731,132396.36466789246,95.77938894677209,25
E14001280,0.9729456110033882,103011.71997120976,107.66157786213535,503
E14001281,1.9180006406173449,95427.98503815383,115.41586411026947,699
E14001282,1.1745638124531017,90647.72758722305,98.48024620781871,203
E14001283,2.3181434501316636,103028.19558668137,86.49690126266796,114
E14001284,2.4849538688801953,104655.28097748756,110.41905512509402,113
E14001285,1.0227689753213138,95358.38874015212,132.07590737371356,1490
E14001286,2.3929404322423284,98488.62793552876,83.77696992938581,61
E14001287,1.7731097682204855,91696.69477033615,172.41563988865528,278
E14001288,1.5049632390551744,98608.0283896923,84.50079290335998,268
E14001289,1.4587502504574141,99884.94949895144,74.49698630748026,195
E14001290,34.261069455880126,91592.7822265625,299.51130962371826,8
E14001291,0.9985170265525218,91443.90611720085,79.99384403240401,632
E14001292,2.4967036820512534,111581.95407390594,64.87381924630608,57
E14001293,5.364317108013139,112564.98876953125,71.62062966823578,15
E14001294,1.6939226745561857,107822.68681848049,86.78246466792189,306
E14001295,1.8076105876131559,95221.46654033661,60.91938976495294,68
E14001296,4.602696420560169,101431.89358854294,67.52811928029405,22
E14001297,3.541863821393168,106277.91724014282,157.18583391979337,47
