PCON24CD,mean,min_nox_emission_per_km2,max_nox_emission,median_nox_emission_per_km2,stdev,mean_nox_emission_per_km2,sd_nox_emission_per_km2,sum,area_km2,total_nox_t_per_km2,total_nox
E14001063,1.7201707363128662,1.6874920402187854e-4,7.704705238342285,1.3740249200578076,1.7411322593688965,2.6242880821228027,1.4191772937774658,94.87494659423828,56.859121437949774,1.66859677383118,94.87494659423828
E14001064,1.1318578720092773,0.002605798887088895,3.7152791023254395,1.040177462680629,0.8199611306190491,1.616081714630127,0.7111581563949585,59.750858306884766,52.79006850002277,1.1318579423108532,59.750858306884766
E14001065,1.850732684135437,9.163346840068698e-5,18.53837013244629,1.0850885165144817,2.7214369773864746,3.192093849182129,2.6060986518859863,98.02378845214844,52.9648557844243,1.8507326603724066,98.02378845214844
E14001066,0.6673778295516968,5.232269177213311e-4,25.17466926574707,0.24448547203360696,1.544206142425537,1.7100727558135986,2.1994287967681885,84.60160827636719,126.9306180667425,0.6665185245681391,84.60160827636719
E14001067,0.1345389485359192,1.31211694679223e-4,3.96065092086792,0.03838704217065112,0.27850040793418884,0.6962207555770874,0.6490774750709534,97.40277862548828,834.0190233201849,0.11678723854251316,97.40277862548828
E14001068,1.0784509181976318,2.0925450371578336e-4,25.17466926574707,0.4617166867109389,2.443927049636841,2.2919504642486572,3.0639877319335938,105.07425689697266,101.28922514043104,1.0373685527882548,105.07425689697266
E14001069,0.38853684067726135,1.5404839359689504e-4,8.323442459106445,0.0509678369032207,0.9455697536468506,1.8232206106185913,1.3833717107772827,86.05091857910156,229.10021031064284,0.3756038393086716,86.05091857910156
E14001070,2.342318058013916,0.027300819754600525,8.630908966064453,2.4174217258216317,1.6461660861968994,3.0603115558624268,1.4374089241027832,69.603515625,29.71565425547683,2.342318127226545,69.603515625
E14001071,0.5794304609298706,1.4444110274780542e-4,16.73324966430664,0.06127039719896734,1.7590839862823486,2.5339596271514893,2.4112648963928223,101.21842193603516,197.8610658989998,0.5115631085688335,101.21842193603516
E14001072,0.2430926412343979,1.4993059448897839e-4,6.65574312210083,0.033521157293158535,0.7006863355636597,1.8681234121322632,1.8324018716812134,108.4629898071289,509.9690502441983,0.21268543601850248,108.4629898071289
E14001073,3.6398837566375732,0.1263166069984436,8.069828987121582,3.220797992685318,1.7994815111160278,3.9979867935180664,1.7735422849655151,67.67511749267578,18.592658316805302,3.6398838907025164,67.67511749267578
E14001074,1.5842113494873047,8.174683898687363e-4,35.532081604003906,0.5595537632806901,4.476398468017578,2.862426280975342,5.583621978759766,112.22187805175781,74.41653331638622,1.5080234599835491,112.22187805175781
E14001075,0.8601642847061157,3.999246109742671e-4,12.13422966003418,0.6563724296997261,1.015357255935669,1.618945837020874,1.256447196006775,63.4481201171875,75.76791490286243,0.8374008998205981,63.4481201171875
