LSOA21CD,number_of_households
E01000471,492
E01000472,914
E01000473,789
E01000474,520
E01000475,614
E01000476,555
E01000477,682
E01000478,716
E01000479,514
E01000480,513
E01000481,601
E01000483,657
E01000484,614
E01000485,531
E01000486,520
E01000487,697
E01000488,551
E01000489,688
E01000490,887
E01000491,864
E01000492,451
E01000493,564
E01000494,721
E01000495,782
E01000497,685
E01000498,515
E01000499,584
E01000501,759
E01000502,658
E01000503,776
E01000504,697
E01000505,570
E01000506,667
E01000507,519
E01000508,863
E01000509,456
E01000510,576
E01000511,560
E01000512,651
E01000513,468
E01000514,493
E01000515,648
E01000516,750
E01000517,489
E01000518,627
E01000519,630
E01000520,611
E01000521,921
E01000522,698
E01000523,865
E01000524,986
E01000525,758
E01000526,808
E01000527,734
E01000528,735
E01000530,674
E01000531,858
E01000532,610
E01000533,878
E01000534,657
E01000535,847
E01000536,504
E01000538,485
E01000539,539
E01000540,483
E01000541,486
E01000543,494
E01000544,740
E01000545,910
E01000546,753
E01000547,687
E01000548,1002
E01000549,892
E01000550,910
E01000551,1176
E01000552,578
E01000553,743
E01000554,757
E01000555,528
E01000556,860
E01000557,831
E01000558,643
E01000559,656
E01000560,664
E01000561,823
E01000562,477
E01000563,482
E01000564,490
E01000565,484
E01000566,464
E01000567,460
E01000568,663
E01000569,482
E01000570,513
E01000571,496
E01000572,462
E01000573,480
E01000574,455
E01000575,660
E01000576,572
E01000577,861
E01000578,835
E01000579,634
E01000580,853
E01000581,593
E01000582,685
E01000583,902
E01000584,551
E01000585,592
E01000586,1087
E01000587,459
E01000589,804
E01000590,631
E01000591,641
E01000592,618
E01000593,670
E01000594,558
E01000595,653
E01000596,626
E01000599,698
E01000601,513
E01000602,502
E01000603,564
E01000604,513
E01000605,571
E01000606,576
E01000607,688
E01000608,808
E01000609,632
E01000610,687
E01000611,605
E01000612,544
E01000613,638
E01000615,827
E01000616,591
E01000617,720
E01000618,480
E01000619,478
E01000620,509
E01000621,516
E01000622,706
E01000623,568
E01000624,589
E01000625,588
E01000626,604
E01000627,687
E01000628,640
E01000629,624
E01000630,908
E01000631,581
E01000632,594
E01000633,615
E01000634,763
E01000636,767
E01000637,615
E01000638,790
E01000639,750
E01000640,816
E01000641,735
E01000642,1028
E01000643,896
E01000644,763
E01000645,542
E01000646,783
E01000647,648
E01000648,727
E01000649,817
E01000650,749
E01000651,625
E01000652,674
E01000653,595
E01000654,488
E01000655,490
E01000656,565
E01000657,675
E01000658,561
E01000659,523
E01000661,1180
E01000662,652
E01000663,664
E01000664,600
E01000665,743
E01000666,803
E01000667,627
E01000668,974
E01000669,747
E01000670,834
E01000671,1017
E01000672,695
E01000673,635
E01000674,799
E01000676,965
E01000677,801
E01000678,699
E01000679,677
E01000680,647
E01000681,649
E01000682,639
E01000683,704
E01000684,748
E01000685,612
E01000686,641
E01000687,660
E01000688,508
E01000689,616
E01000690,536
E01000691,636
E01000692,683
E01000693,645
E01000694,884
E01000695,622
E01000696,688
E01000697,779
E01000698,437
E01000699,665
E01000700,669
E01000701,606
E01000702,639
E01000703,701
E01000704,599
E01000705,571
E01000706,610
E01000707,530
E01000708,713
E01000709,737
E01000710,1158
E01000711,1027
E01000712,881
E01000713,888
E01000714,1092
E01000715,927
E01000716,709
E01000717,865
E01000718,928
E01000719,864
E01000720,685
E01000721,615
E01000722,756
E01000723,552
E01000724,652
E01000725,793
E01000726,578
E01000727,762
E01000728,699
E01000729,834
E01000730,666
E01000731,515
E01000732,584
E01000733,634
E01000734,511
E01000735,556
E01000736,629
E01000737,584
E01000738,646
E01000739,637
E01000741,931
E01000742,1022
E01000743,851
E01000744,662
E01000745,899
E01000746,964
E01000747,791
E01000748,704
E01000749,637
E01000750,653
E01000751,888
E01000752,786
E01000753,756
E01000754,735
E01000755,631
E01000756,649
E01000757,603
E01000758,555
E01000759,577
E01000760,582
E01000761,569
E01000762,747
E01000763,527
E01000764,660
E01000765,703
E01000766,645
E01000767,601
E01000768,611
E01000769,454
E01000770,688
E01000771,622
E01000772,755
E01000773,608
E01000774,582
E01000775,855
E01000777,559
E01000778,639
E01000779,590
E01000780,647
E01000781,626
E01000782,654
E01000783,636
E01000784,592
E01000785,632
E01000786,636
E01000787,674
E01000788,614
E01000789,661
E01000790,1045
E01000791,622
E01000792,573
E01000793,627
E01000794,605
E01000795,537
E01000796,620
E01000797,689
E01000798,735
E01000799,754
E01000800,797
E01000801,651
E01000802,802
E01000803,747
E01000804,564
E01000805,798
E01000806,778
E01000807,637
E01000808,620
E01000809,641
E01000810,595
E01000811,573
E01000812,675
E01000813,621
E01000814,580
E01000815,561
E01000816,614
E01000818,640
E01000819,756
E01000820,701
E01000822,713
E01000823,734
E01000824,578
E01000825,810
E01000826,561
E01000827,781
E01000828,768
E01000829,702
E01000830,555
E01000831,773
E01000832,586
E01000833,497
E01000834,461
E01000835,699
E01000836,495
E01000837,652
E01000838,541
E01000839,541
E01000840,686
E01000841,661
E01000842,708
E01000843,651
E01000844,819
E01000845,697
E01000846,581
E01000847,618
E01000848,740
E01000849,737
E01000850,573
E01000851,631
E01000853,720
E01000855,809
E01000856,646
E01000857,637
E01000858,798
E01000859,700
E01000860,675
E01000861,697
E01000862,807
E01000863,694
E01000866,923
E01000867,767
E01000868,745
E01000869,878
E01000870,725
E01000871,651
E01000872,855
E01000873,667
E01000874,630
E01000875,771
E01000876,827
E01000877,662
E01000878,764
E01000879,573
E01000880,578
E01000881,602
E01000882,665
E01000883,755
E01000884,583
E01000885,528
E01000886,593
E01000887,654
E01000888,640
E01000889,707
E01000890,604
E01000891,615
E01000892,817
E01000893,657
E01000894,565
E01000895,783
E01000896,661
E01000897,654
E01000898,826
E01000899,707
E01000900,716
E01000901,732
E01000902,545
E01000903,626
E01000904,897
E01000905,762
E01000906,734
E01000907,615
E01000908,772
E01000909,644
E01000910,557
E01000911,632
E01000912,681
E01000913,683
E01000914,764
E01000915,590
E01000916,933
E01000917,748
E01000918,815
E01000919,713
E01000920,817
E01000921,922
E01000922,688
E01000923,628
E01000924,726
E01000925,568
E01000926,609
E01000927,688
E01000928,752
E01000929,726
E01000930,1103
E01000931,925
E01000932,879
E01000933,815
E01000934,719
E01000935,705
E01000937,418
E01000938,625
E01000939,486
E01000941,532
E01000942,508
E01000943,438
E01000944,566
E01000946,686
E01000947,816
E01000948,745
E01000949,694
E01000951,562
E01000952,657
E01000954,649
E01000955,536
E01000956,604
E01000957,652
E01000958,954
E01000959,686
E01000960,892
E01000961,725
E01000962,757
E01000963,827
E01000964,753
E01000965,814
E01000966,699
E01000967,638
E01000968,728
E01000969,890
E01000970,760
E01000971,579
E01000972,958
E01000973,1121
E01000974,764
E01000975,1039
E01000976,872
E01000977,947
E01000978,838
E01000979,775
E01000980,578
E01000981,658
E01000982,674
E01000983,724
E01000984,785
E01000985,520
E01000986,688
E01000987,514
E01000989,629
E01000990,535
E01000991,685
E01000992,685
E01000993,604
E01000994,536
E01000995,605
E01000996,448
E01000997,490
E01000998,587
E01000999,433
E01001000,510
E01001001,582
E01001002,523
E01001003,596
E01001004,781
E01001005,600
E01001006,690
E01001007,597
E01001008,530
E01001009,667
E01001010,607
E01001011,859
E01001012,810
E01001013,903
E01001015,556
E01001016,653
E01001017,630
E01001018,634
E01001019,593
E01001020,642
E01001021,548
E01001022,620
E01001023,1119
E01001024,526
E01001025,492
E01001026,670
E01001027,990
E01001028,540
E01001029,637
E01001030,493
E01001031,515
E01001032,556
E01001033,682
E01001034,665
E01001035,838
E01001036,661
E01001037,682
E01001038,949
E01001039,599
E01001040,744
E01001041,727
E01001042,944
E01001044,835
E01001046,798
E01001047,845
E01001049,520
E01001050,790
E01001051,565
E01001052,456
E01001053,534
E01001054,591
E01001055,575
E01001056,576
E01001057,601
E01001058,525
E01001059,668
E01001060,644
E01001061,652
E01001062,557
E01001063,577
E01001064,614
E01001065,650
E01001066,525
E01001067,576
E01001068,753
E01001069,506
E01001070,647
E01001071,723
E01001072,539
E01001073,581
E01001074,816
E01001075,644
E01001076,568
E01001077,516
E01001078,510
E01001079,588
E01001080,585
E01001081,496
E01001082,523
E01001083,545
E01001084,665
E01001085,648
E01001086,590
E01001087,1130
E01001088,575
E01001089,647
E01001090,886
E01001091,562
E01001092,700
E01001093,711
E01001094,565
E01001095,595
E01001096,533
E01001097,1171
E01001098,535
E01001099,599
E01001100,602
E01001101,506
E01001102,634
E01001103,644
E01001104,642
E01001105,625
E01001106,561
E01001107,668
E01001108,642
E01001109,963
E01001110,893
E01001111,641
E01001112,854
E01001113,858
E01001114,602
E01001115,649
E01001116,606
E01001118,880
E01001119,579
E01001120,508
E01001121,540
E01001122,459
E01001123,601
E01001124,603
E01001125,609
E01001126,595
E01001127,586
E01001128,569
E01001129,506
E01001130,558
E01001131,658
E01001132,644
E01001133,729
E01001134,679
E01001135,638
E01001136,983
E01001137,971
E01001138,719
E01001139,713
E01001140,759
E01001141,569
E01001142,747
E01001143,825
E01001144,800
E01001145,871
E01001146,605
E01001147,670
E01001148,702
E01001149,621
E01001150,638
E01001151,671
E01001152,789
E01001153,615
E01001154,727
E01001155,785
E01001156,720
E01001157,623
E01001158,670
E01001159,740
E01001160,627
E01001161,551
E01001162,801
E01001163,835
E01001164,992
E01001165,725
E01001166,876
E01001167,819
E01001168,733
E01001169,639
E01001170,895
E01001171,681
E01001172,729
E01001173,1120
E01001174,510
E01001175,555
E01001176,620
E01001177,554
E01001178,601
E01001179,548
E01001180,674
E01001181,889
E01001182,461
E01001183,635
E01001184,446
E01001185,744
E01001186,816
E01001187,810
E01001188,748
E01001189,459
E01001190,602
E01001191,863
E01001192,689
E01001193,567
E01001194,617
E01001195,617
E01001196,695
E01001197,719
E01001198,595
E01001199,671
E01001200,630
E01001201,630
E01001202,999
E01001203,854
E01001204,594
E01001205,654
E01001206,553
E01001207,758
E01001208,508
E01001209,652
E01001210,757
E01001211,718
E01001212,724
E01001213,536
E01001214,500
E01001215,620
E01001216,495
E01001217,440
E01001218,725
E01001219,765
E01001220,469
E01001223,633
E01001224,579
E01001225,847
E01001226,671
E01001227,603
E01001228,826
E01001229,593
E01001230,607
E01001231,786
E01001232,616
E01001233,621
E01001234,608
E01001235,780
E01001236,686
E01001237,672
E01001239,564
