LSOA21CD,number_of_households
E01008843,542
E01008844,684
E01008845,657
E01008846,465
E01008847,507
E01008848,649
E01008849,572
E01008851,754
E01008852,530
E01008853,678
E01008854,637
E01008855,611
E01008856,613
E01008857,614
E01008858,599
E01008859,515
E01008860,585
E01008861,645
E01008862,562
E01008863,636
E01008864,542
E01008865,603
E01008866,581
E01008867,741
E01008868,504
E01008869,515
E01008870,598
E01008871,589
E01008872,769
E01008873,537
E01008874,670
E01008875,662
E01008876,631
E01008877,722
E01008878,630
E01008879,618
E01008880,493
E01008881,584
E01008882,671
E01008883,637
E01008884,710
E01008885,504
E01008886,693
E01008887,615
E01008888,633
E01008889,662
E01008890,711
E01008891,712
E01008892,500
E01008893,728
E01008894,713
E01008895,767
E01008896,566
E01008897,618
E01008898,557
E01008899,458
E01008901,609
E01008905,488
E01008906,510
E01008907,619
E01008909,551
E01008910,442
E01008911,639
E01008913,933
E01008915,559
E01008916,483
E01008917,509
E01008918,724
E01008919,699
E01008920,548
E01008921,623
E01008923,643
E01008924,634
E01008925,509
E01008927,601
E01008928,737
E01008929,698
E01008930,787
E01008931,623
E01008932,655
E01008933,545
E01008934,547
E01008935,678
E01008936,656
E01008937,628
E01008938,571
E01008939,701
E01008940,581
E01008941,577
E01008942,630
E01008943,572
E01008944,736
E01008945,740
E01008946,646
E01008947,537
E01008948,619
E01008949,508
E01008950,715
E01008951,612
E01008952,873
E01008953,658
E01008954,599
E01008955,744
E01008956,555
E01008957,728
E01008958,766
E01008959,802
E01008960,626
E01008961,726
E01008962,855
E01008963,619
E01008964,620
E01008965,574
E01008966,683
E01008967,648
E01008968,713
E01008969,689
E01008970,601
E01008971,750
E01008972,758
E01008973,878
E01008974,1109
E01008975,665
E01008976,644
E01008977,703
E01008978,630
E01008979,707
E01008980,680
E01008981,591
E01008982,703
E01008984,782
E01008986,786
E01008987,627
E01008988,983
E01008989,925
E01008990,512
E01008991,573
E01008992,479
E01008994,648
E01008995,911
E01008996,680
E01008997,629
E01008998,650
E01008999,523
E01009000,845
E01009001,718
E01009002,788
E01009003,686
E01009005,731
E01009006,750
E01009007,903
E01009008,598
E01009009,629
E01009011,793
E01009012,605
E01009013,898
E01009014,813
E01009015,788
E01009016,726
E01009017,484
E01009018,720
E01009019,604
E01009020,557
E01009021,681
E01009022,593
E01009023,559
E01009024,615
E01009025,572
E01009026,709
E01009028,622
E01009029,514
E01009030,624
E01009031,643
E01009032,589
E01009033,700
E01009034,554
E01009035,611
E01009036,537
E01009037,757
E01009039,650
E01009040,614
E01009041,637
E01009042,524
E01009043,600
E01009044,454
E01009045,701
E01009046,604
E01009047,553
E01009048,639
E01009049,577
E01009050,752
E01009051,543
E01009053,442
E01009054,435
E01009056,751
E01009057,628
E01009058,499
E01009059,571
E01009060,478
E01009061,458
E01009062,510
E01009064,593
E01009065,633
E01009066,878
E01009067,686
E01009068,727
E01009069,856
E01009070,677
E01009071,738
E01009072,848
E01009073,645
E01009074,709
E01009075,817
E01009077,690
E01009078,610
E01009079,488
E01009080,404
E01009081,559
E01009082,496
E01009083,548
E01009084,528
E01009085,494
E01009086,625
E01009087,580
E01009088,685
E01009089,488
E01009090,539
E01009091,659
E01009092,616
E01009093,646
E01009094,547
E01009095,666
E01009096,776
E01009097,768
E01009098,934
E01009099,800
E01009100,817
E01009101,612
E01009102,646
E01009103,684
E01009104,623
E01009105,744
E01009106,574
E01009107,694
E01009108,437
E01009109,516
E01009110,606
E01009111,598
E01009112,637
E01009113,702
E01009114,649
E01009115,608
E01009116,571
E01009117,800
E01009118,679
E01009119,659
E01009120,774
E01009122,665
E01009123,611
E01009124,714
E01009125,684
E01009126,541
E01009127,570
E01009128,521
E01009129,567
E01009130,598
E01009131,506
E01009132,593
E01009133,600
E01009134,656
E01009135,596
E01009136,847
E01009137,586
E01009138,676
E01009139,556
E01009140,842
E01009141,812
E01009143,751
E01009145,726
E01009146,1045
E01009147,670
E01009151,626
E01009152,576
E01009153,822
E01009155,583
E01009157,616
E01009158,895
E01009159,913
E01009160,710
E01009161,608
E01009162,635
E01009164,626
E01009165,643
E01009166,566
E01009167,589
E01009168,651
E01009169,700
E01009170,635
E01009171,722
E01009172,557
E01009173,635
E01009174,521
E01009175,589
E01009176,676
E01009177,635
E01009178,758
E01009179,638
E01009182,642
E01009183,578
E01009184,721
E01009185,762
E01009186,778
E01009187,647
E01009188,661
E01009189,590
E01009192,612
E01009195,675
E01009197,482
E01009199,541
E01009200,606
E01009201,709
E01009202,634
E01009204,712
E01009205,616
E01009206,652
E01009207,664
E01009208,702
E01009209,949
E01009210,829
E01009211,685
E01009212,772
E01009213,755
E01009214,767
E01009215,934
E01009216,836
E01009217,659
E01009218,646
E01009219,609
E01009220,618
E01009221,594
E01009222,577
E01009223,690
E01009224,594
E01009225,746
E01009226,668
E01009227,710
E01009228,677
E01009229,658
E01009230,732
E01009231,778
E01009232,587
E01009233,620
E01009234,613
E01009235,630
E01009236,599
E01009237,579
E01009238,630
E01009239,557
E01009240,595
E01009241,590
E01009242,637
E01009243,730
E01009244,805
E01009245,568
E01009246,667
E01009247,584
E01009248,707
E01009249,648
E01009250,731
E01009251,629
E01009252,641
E01009253,629
E01009254,849
E01009255,624
E01009256,678
E01009257,617
E01009258,652
E01009259,719
E01009260,625
E01009261,727
E01009262,531
E01009263,627
E01009264,684
E01009265,592
E01009266,591
E01009267,600
E01009268,433
E01009269,505
E01009270,631
E01009271,514
E01009272,469
E01009273,495
E01009274,709
E01009275,502
E01009276,542
E01009278,544
E01009279,453
E01009280,746
E01009281,697
E01009282,695
E01009283,612
E01009284,992
E01009286,513
E01009288,448
E01009289,608
E01009290,525
E01009291,587
E01009292,665
E01009293,615
E01009294,804
E01009295,670
E01009296,588
E01009297,799
E01009298,580
E01009299,624
E01009300,720
E01009301,769
E01009302,611
E01009303,713
E01009304,803
E01009305,705
E01009306,711
E01009307,728
E01009308,762
E01009309,784
E01009310,807
E01009311,559
E01009312,614
E01009313,632
E01009314,749
E01009315,838
E01009316,794
E01009317,846
E01009318,638
E01009319,625
E01009320,654
E01009321,816
E01009322,725
E01009323,635
E01009324,715
E01009325,509
E01009326,559
E01009327,410
E01009328,509
E01009329,711
E01009331,578
E01009332,593
E01009333,402
E01009334,434
E01009335,486
E01009337,494
E01009338,429
E01009339,472
E01009341,523
E01009342,404
E01009343,494
E01009344,469
E01009345,500
E01009346,526
E01009347,563
E01009348,819
E01009349,560
E01009350,473
E01009351,551
E01009352,488
E01009353,473
E01009354,509
E01009355,475
E01009358,740
E01009359,689
E01009360,957
E01009361,775
E01009362,493
E01009363,572
E01009364,556
E01009365,587
E01009366,538
E01009367,554
E01009368,414
E01009371,521
E01009372,417
E01009373,462
E01009374,438
E01009375,552
E01009376,540
E01009377,434
E01009379,679
E01009380,504
E01009382,464
E01009383,409
E01009384,701
E01009385,601
E01009389,480
E01009390,648
E01009391,515
E01009392,419
E01009393,482
E01009394,729
E01009395,523
E01009396,508
E01009397,462
E01009399,420
E01009400,574
E01009401,636
E01009403,608
E01009404,627
E01009405,607
E01009406,758
E01009407,693
E01009408,658
E01009409,839
E01009410,815
E01009411,873
E01009412,646
E01009413,671
E01009414,861
E01009415,684
E01009416,1067
E01009417,637
E01009418,641
E01009419,601
E01009420,648
E01009421,651
E01009422,852
E01009423,756
E01009424,722
E01009425,838
E01009426,613
E01009427,681
E01009428,639
E01009429,579
E01009430,685
E01009431,664
E01009432,649
E01009433,755
E01009434,704
E01009435,709
E01009436,555
E01009437,821
E01009438,595
E01009439,601
E01009440,645
E01009441,638
E01009442,592
E01009443,523
E01009444,605
E01009445,795
E01009446,1008
E01009447,631
E01009448,674
E01009449,1111
E01009450,671
E01009451,640
E01009452,695
E01009453,519
E01009454,649
E01009455,693
E01009456,709
E01009457,603
E01009458,737
E01009459,640
E01009460,812
E01009461,519
E01009462,771
E01009463,615
E01009464,542
E01009465,498
E01009466,658
E01009467,657
E01009468,609
E01009469,587
E01009470,532
E01009471,727
E01009472,662
E01009473,689
E01009474,637
E01009475,611
E01009476,577
E01009477,530
E01009478,622
E01009479,594
E01009480,579
E01009481,715
E01009482,473
E01009483,522
E01009484,490
E01009485,504
E01009486,608
E01009487,571
E01009488,718
E01009489,519
E01009490,636
E01009491,527
E01009492,539
E01009493,1021
E01009494,623
E01009495,536
E01009496,640
E01009497,754
E01009498,678
E01009499,662
E01009500,610
E01009501,570
E01009502,580
E01009503,583
E01009504,643
E01009505,644
E01009506,620
E01009507,575
E01009508,607
E01009509,629
E01009510,685
E01009511,484
E01009512,707
E01009513,592
E01009514,623
E01009515,635
E01009516,518
E01009517,700
E01009518,707
E01009519,595
E01009520,709
E01009521,615
E01009522,739
E01009523,628
E01009524,749
E01009525,576
E01009526,605
E01009527,656
E01009528,860
E01009529,626
E01009530,555
E01009531,774
E01009532,575
E01009535,569
E01009536,606
E01009537,624
E01009538,626
E01009539,939
E01009540,756
E01009541,816
E01009542,815
E01009543,621
E01009544,737
E01009548,932
E01009549,656
E01009550,723
E01009552,684
E01009553,874
E01009554,580
E01009555,589
E01009556,706
E01009557,538
E01009558,631
E01009559,579
E01009560,534
E01009561,756
E01009562,673
E01009563,620
E01009564,688
E01009565,458
E01009566,658
E01009567,587
E01009568,542
E01009569,497
E01009570,684
E01009571,642
E01009573,498
E01009574,563
E01009575,452
E01009576,716
E01009577,678
E01009578,573
E01009579,869
E01009580,609
E01009581,697
E01009582,719
E01009583,651
E01009584,861
E01009585,605
E01009586,726
E01009587,784
E01009588,647
E01009589,649
E01009590,596
E01009591,593
E01009592,622
E01009593,623
E01009594,555
E01009596,754
E01009597,662
E01009598,767
E01009599,562
E01009604,562
E01009605,707
E01009606,774
E01009607,769
E01009608,622
E01009609,584
E01009610,607
E01009612,552
E01009613,492
E01009614,585
E01009615,655
E01009616,604
E01009617,470
E01009618,655
E01009620,1021
E01009621,549
E01009622,664
E01009623,663
E01009624,602
E01009625,874
E01009626,636
E01009627,723
E01009628,633
E01009630,708
E01009631,600
E01009632,986
E01009633,736
E01009634,686
E01009636,962
E01009637,522
E01009638,757
E01009639,557
E01009640,738
E01009641,825
E01009643,591
E01009644,681
E01009645,564
E01009646,604
E01009647,826
E01009648,594
E01009649,574
E01009650,758
E01009651,733
E01009652,619
E01009653,633
E01009654,711
E01009655,845
E01009656,702
E01009657,610
E01009658,636
E01009659,782
E01009660,652
E01009661,799
E01009662,568
E01009663,620
E01009664,592
E01009665,476
E01009666,511
E01009667,568
E01009668,629
E01009669,465
E01009670,663
E01009671,409
E01009672,828
E01009674,744
E01009676,680
E01009679,801
E01009681,545
E01009682,597
E01009683,710
E01009684,681
E01009685,716
E01009686,675
E01009687,601
E01009688,631
E01009689,912
E01009690,636
E01009691,600
E01009692,523
E01009693,674
E01009694,614
E01009695,744
E01009696,650
E01009697,865
E01009698,633
E01009699,628
E01009700,833
E01009701,714
E01009702,737
E01009704,597
E01009705,576
E01009706,644
E01009707,730
E01009708,607
E01009709,422
E01009710,603
E01009711,752
E01009712,595
E01009713,524
E01009714,564
E01009715,583
E01009716,644
E01009717,572
E01009718,844
E01009719,567
E01009720,527
E01009721,1110
E01009722,610
E01009723,460
E01009724,623
E01009725,633
E01009726,548
E01009727,556
E01009728,493
E01009729,639
E01009730,637
E01009731,738
E01009732,749
E01009733,951
E01009734,679
E01009735,703
E01009736,617
E01009737,699
E01009738,604
E01009739,660
E01009740,863
E01009741,1085
E01009742,669
E01009743,708
E01009744,1080
E01009745,744
E01009746,884
E01009747,687
E01009748,666
E01009749,962
E01009750,596
E01009751,686
E01009752,649
E01009753,619
E01009754,692
E01009756,532
E01009757,862
E01009758,683
E01009759,519
E01009760,523
E01009762,505
E01009763,878
E01009764,632
E01009765,667
E01009766,687
E01009767,658
E01009768,607
E01009769,823
E01009770,640
E01009771,644
E01009772,508
E01009773,675
E01009774,691
E01009775,620
E01009776,594
E01009777,659
E01009778,632
E01009779,701
E01009780,846
E01009781,893
E01009782,751
E01009783,598
E01009784,628
E01009785,662
E01009786,619
E01009787,591
E01009788,716
E01009789,683
E01009790,700
E01009791,665
E01009792,628
E01009793,611
E01009794,629
E01009795,746
E01009796,633
E01009797,652
E01009798,1003
E01009799,700
E01009800,647
E01009801,700
E01009802,680
E01009803,648
E01009804,536
E01009805,654
E01009806,699
E01009807,749
E01009808,590
E01009809,684
E01009810,770
E01009811,654
E01009812,577
E01009813,653
E01009814,513
E01009815,496
E01009816,712
E01009817,536
E01009818,549
E01009819,687
E01009820,668
E01009821,603
E01009822,656
E01009823,534
E01009824,856
E01009825,616
E01009826,633
E01009827,627
E01009828,571
E01009829,627
E01009830,632
E01009831,636
E01009832,733
E01009833,531
E01009834,735
E01009835,603
E01009836,885
E01009837,665
E01009838,693
E01009839,627
E01009840,544
E01009841,672
E01009842,677
E01009843,656
E01009844,620
E01009845,649
E01009846,639
E01009847,618
E01009848,621
E01009849,654
E01009850,663
E01009851,648
E01009852,606
E01009853,621
E01009854,643
E01009855,646
E01009856,973
E01009857,700
E01009858,670
E01009859,642
E01009860,634
E01009861,724
E01009862,754
E01009863,792
E01009864,601
E01009865,666
E01009866,774
E01009867,709
E01009868,662
E01009869,675
E01009870,754
E01009871,910
E01009872,511
E01009873,652
E01009874,580
E01009875,632
E01009876,676
E01009877,671
E01009878,897
E01009879,956
E01009880,566
E01009882,566
E01009883,662
E01009884,625
E01009885,670
E01009886,1037
E01009887,645
E01009888,671
E01009889,1183
E01009890,670
E01009891,646
E01009892,643
E01009893,652
E01009894,696
E01009895,623
E01009896,598
E01009897,602
E01009898,672
E01009899,619
E01009900,638
E01009901,630
E01009902,521
E01009903,622
E01009904,612
E01009905,663
E01009906,903
E01009907,672
E01009908,689
E01009909,675
E01009910,715
E01009911,602
E01009912,890
E01009913,651
E01009914,590
E01009915,737
E01009916,753
E01009917,497
E01009918,604
E01009919,502
E01009920,730
E01009921,751
E01009922,504
E01009923,602
E01009924,632
E01009925,588
E01009926,616
E01009927,691
E01009928,752
E01009929,727
E01009930,644
E01009931,961
E01009932,793
E01009933,548
E01009934,594
E01009935,1041
E01009936,660
E01009937,613
E01009938,680
E01009939,679
E01009940,603
E01009941,617
E01009942,652
E01009943,490
E01009944,621
E01009946,688
E01009947,911
E01009948,609
E01009949,576
E01009950,656
E01009951,1060
E01009952,941
E01009953,975
E01009954,758
E01009955,886
E01009956,718
E01009957,696
E01009958,662
E01009959,609
E01009960,628
E01009961,530
E01009962,513
E01009963,500
E01009964,584
E01009965,453
E01009966,464
E01009967,768
E01009968,635
E01009969,801
E01009970,691
E01009971,683
E01009972,743
E01009973,766
E01009974,668
E01009975,674
E01009976,1055
E01009977,799
E01009978,650
E01009979,849
E01009980,860
E01009981,763
E01009982,552
E01009983,602
E01009985,665
E01009986,541
E01009987,596
E01009988,1059
E01009989,651
E01009991,843
E01009992,616
E01009993,724
E01009994,644
E01009995,630
E01009996,650
E01009997,659
E01009998,809
E01009999,559
E01010000,752
E01010001,767
E01010002,867
E01010003,704
E01010004,872
E01010005,609
E01010006,677
E01010007,543
E01010008,625
E01010009,551
E01010010,628
E01010011,716
E01010012,573
E01010013,523
E01010014,698
E01010015,718
E01010016,614
E01010017,878
E01010018,1002
E01010019,665
E01010020,702
E01010021,677
E01010022,623
E01010023,788
E01010024,659
E01010025,705
E01010026,716
E01010027,615
E01010028,650
E01010029,595
E01010030,717
E01010031,722
E01010032,520
E01010033,777
E01010034,500
E01010035,598
E01010036,691
E01010037,492
E01010038,708
E01010039,769
E01010040,595
E01010041,792
E01010042,812
E01010043,592
E01010044,621
E01010045,639
E01010046,811
E01010047,589
E01010048,524
E01010049,562
E01010050,514
E01010051,493
E01010052,476
E01010053,668
E01010054,912
E01010055,631
E01010056,657
E01010057,694
E01010058,650
E01010059,705
E01010060,701
E01010061,540
E01010062,852
E01010064,801
E01010066,694
E01010067,706
E01010068,698
E01010069,730
E01010070,826
E01010071,683
E01010072,973
E01010073,630
E01010075,490
E01010076,861
E01010077,673
E01010078,522
E01010079,614
E01010080,768
E01010081,664
E01010082,854
E01010083,691
E01010084,554
E01010085,666
E01010086,675
E01010087,622
E01010088,565
E01010089,695
E01010090,818
E01010091,691
E01010092,795
E01010093,712
E01010094,573
E01010095,687
E01010096,797
E01010097,785
E01010098,813
E01010099,670
E01010100,724
E01010101,925
E01010102,708
E01010103,962
E01010104,819
E01010105,539
E01010106,636
E01010107,801
E01010108,916
E01010109,654
E01010110,578
E01010111,636
E01010112,686
E01010113,554
E01010114,780
E01010115,671
E01010116,520
E01010117,566
E01010118,505
E01010119,599
E01010120,647
E01010121,608
E01010122,604
E01010123,632
E01010124,620
E01010125,841
E01010126,636
E01010127,748
E01010128,655
E01010129,746
E01010130,776
E01010131,689
E01010132,626
E01010133,686
E01010134,578
E01010135,650
E01010136,513
E01010137,643
E01010138,587
E01010139,431
E01010140,608
E01010141,631
E01010142,636
E01010143,702
E01010144,737
E01010145,677
E01010146,626
E01010147,647
E01010148,701
E01010149,629
E01010150,657
E01010151,788
E01010152,500
E01010153,729
E01010154,671
E01010155,775
E01010156,621
E01010157,593
E01010158,638
E01010159,537
E01010160,627
E01010161,618
E01010162,623
E01010163,566
E01010164,724
E01010165,832
E01010166,730
E01010167,647
E01010168,790
E01010169,711
E01010170,559
E01010171,552
E01010172,579
E01010173,542
E01010174,685
E01010175,711
E01010176,487
E01010177,575
E01010178,975
E01010179,788
E01010180,634
E01010181,1052
E01010183,743
E01010184,697
E01010185,621
E01010186,784
E01010187,517
E01010188,704
E01010189,664
E01010190,668
E01010191,801
E01010192,813
E01010193,473
E01010194,649
E01010195,581
E01010196,619
E01010197,639
E01010198,736
E01010199,684
E01010200,652
E01010201,722
E01010202,605
E01010203,732
E01010204,662
E01010205,542
E01010206,641
E01010207,587
E01010208,622
E01010209,678
E01010210,632
E01010211,658
E01010212,482
E01010213,712
E01010214,504
E01010215,655
E01010216,611
E01010217,629
E01010218,649
E01010219,679
E01010220,662
E01010221,906
E01010222,628
E01010223,475
E01010225,577
E01010226,921
E01010227,775
E01010228,654
E01010229,563
E01010230,756
E01010231,643
E01010232,1008
E01010233,810
E01010234,742
E01010235,561
E01010236,577
E01010237,759
E01010238,630
E01010239,622
E01010240,557
E01010241,1112
E01010242,781
E01010243,692
E01010244,605
E01010245,677
E01010246,632
E01010247,680
E01010248,632
E01010249,763
E01010250,575
E01010251,564
E01010252,736
E01010253,525
E01010254,617
E01010255,617
E01010256,707
E01010257,497
E01010258,730
E01010259,626
E01010260,715
E01010261,729
E01010262,687
E01010263,534
E01010264,762
E01010265,699
E01010266,506
E01010267,686
E01010268,567
E01010269,542
E01010270,648
E01010271,793
E01010272,697
E01010273,604
E01010274,593
E01010275,738
E01010277,658
E01010279,788
E01010282,505
E01010283,674
E01010284,684
E01010285,746
E01010286,638
E01010287,719
E01010288,622
E01010289,715
E01010290,771
E01010291,544
E01010292,932
E01010293,779
E01010294,649
E01010295,641
E01010296,621
E01010297,578
E01010298,487
E01010299,596
E01010300,623
E01010301,618
E01010302,632
E01010303,631
E01010304,736
E01010305,518
E01010306,903
E01010307,679
E01010308,876
E01010309,886
E01010310,765
E01010311,1070
E01010312,699
E01010313,543
E01010314,692
E01010315,781
E01010316,626
E01010317,681
E01010318,782
E01010319,478
E01010320,586
E01010321,635
E01010322,708
E01010323,620
E01010324,832
E01010325,774
E01010326,558
E01010327,579
E01010328,508
E01010329,652
E01010330,614
E01010331,624
E01010332,651
E01010333,630
E01010334,571
E01010335,598
E01010336,503
E01010337,535
E01010338,534
E01010339,511
E01010340,589
E01010341,471
E01010342,520
E01010343,463
E01010344,583
E01010345,475
E01010346,517
E01010347,638
E01010348,637
E01010349,612
E01010350,578
E01010351,746
E01010352,686
E01010353,679
E01010354,650
E01010355,596
E01010356,608
E01010357,964
E01010358,627
E01010359,635
E01010360,613
E01010361,566
E01010362,610
E01010363,1123
E01010364,473
E01010365,672
E01010366,624
E01010367,624
E01010368,1173
E01010369,821
E01010370,873
E01010372,603
E01010373,518
E01010374,904
E01010375,731
E01010376,497
E01010377,725
E01010378,471
E01010379,566
E01010380,671
E01010381,675
E01010382,640
E01010383,748
E01010384,565
E01010385,615
E01010386,714
E01010387,605
E01010388,561
E01010389,576
E01010390,705
E01010391,755
E01010392,632
E01010393,579
E01010394,514
E01010395,493
E01010396,642
E01010397,612
E01010398,620
E01010399,631
E01010400,957
E01010401,661
E01010402,665
E01010403,725
E01010404,803
E01010405,780
E01010406,1189
E01010407,695
E01010408,735
E01010409,627
E01010410,1051
E01010411,793
E01010412,835
E01010413,689
E01010414,997
E01010415,603
E01010416,744
E01010417,694
E01010418,575
E01010419,671
E01010420,521
E01010421,588
E01010422,724
E01010423,654
E01010424,594
E01010425,517
E01010426,541
E01010427,547
E01010428,546
E01010429,478
E01010430,688
E01010431,467
E01010432,505
E01010433,494
E01010434,742
E01010436,635
E01010437,498
E01010438,628
E01010439,528
E01010440,697
E01010441,541
E01010442,533
E01010443,627
E01010444,551
E01010445,490
E01010446,700
E01010447,852
E01010448,755
E01010449,935
E01010450,1068
E01010451,790
E01010452,678
E01010454,623
E01010455,1062
E01010456,496
E01010457,647
E01010458,753
E01010459,604
E01010460,633
E01010461,608
E01010462,636
E01010463,745
E01010464,888
E01010465,594
E01010466,537
E01010467,630
E01010468,606
E01010469,626
E01010470,702
E01010471,832
E01010472,1010
E01010473,964
E01010474,613
E01010475,644
E01010476,874
E01010477,692
E01010478,514
E01010479,578
E01010480,514
E01010481,524
E01010482,487
E01010483,548
E01010484,498
E01010485,815
E01010486,626
E01010487,606
E01010488,629
E01010489,654
E01010490,936
E01010491,611
E01010492,509
E01010493,623
E01010494,601
E01010495,767
E01010496,628
E01010497,456
E01010498,651
E01010499,526
E01010500,511
E01010501,584
E01010502,524
E01010503,575
E01010504,586
E01010505,500
E01010506,830
E01010507,619
E01010508,817
E01010509,728
E01010510,722
E01010511,669
E01010512,617
E01010513,632
E01010514,647
E01010515,672
E01010516,519
E01010517,656
E01010518,631
E01010519,562
E01010520,662
E01010522,622
E01010523,616
E01010524,668
E01010525,647
E01010526,498
E01010527,704
E01010528,491
E01010529,670
E01010530,657
E01010531,713
E01010532,667
E01010533,693
E01010534,478
E01010535,613
E01010536,627
E01010537,662
E01010538,622
E01010539,647
E01010540,638
E01010541,623
E01010542,642
E01010543,556
E01010544,598
E01010545,660
E01010546,597
E01010547,767
E01010548,722
E01010549,635
E01010550,658
E01010551,774
E01010552,801
E01010553,644
E01010554,613
E01010555,693
E01010556,597
E01010557,622
E01010558,664
E01010559,649
E01010560,790
E01010561,618
E01010562,705
E01010563,658
E01010564,973
E01010565,729
E01010566,734
E01010567,641
E01010568,825
E01010569,841
E01010570,585
E01010571,937
E01010572,674
E01010573,816
E01010574,638
E01010575,759
E01010576,666
E01010577,657
E01010578,772
E01010579,634
E01010580,1053
E01010581,704
E01010582,742
E01010583,585
E01010584,902
E01010585,1034
E01010586,741
E01010587,886
E01010588,676
E01010589,645
E01010590,932
E01010591,708
E01010592,780
E01010593,779
E01010594,709
E01010595,960
E01010596,637
E01010597,620
E01010598,639
E01010599,460
E01010600,475
E01010601,769
E01010602,655
E01010603,634
E01010604,766
E01010605,652
E01010606,590
E01010607,623
E01010608,479
E01010609,694
E01010610,883
E01010611,898
E01010612,594
E01010613,699
E01010614,605
E01010615,542
E01010616,605
E01010617,616
E01010618,517
E01010619,524
E01010620,558
E01010621,536
E01010622,664
E01010623,567
E01010624,585
E01010625,512
E01010626,524
E01010627,534
E01010628,675
E01010629,638
E01010630,672
E01010631,550
E01010632,562
E01010633,675
E01010634,656
E01010635,659
E01010636,741
E01010637,571
E01010638,689
E01010639,987
E01010640,832
E01010641,642
E01010642,888
E01010643,670
E01010644,826
E01010645,742
E01010646,671
E01010647,524
E01010648,659
E01010649,664
E01010650,732
E01010651,638
E01010652,798
E01010653,839
E01010654,673
E01010655,579
E01010656,615
E01010657,668
E01010658,612
E01010659,620
E01010662,499
E01010663,673
E01010664,533
E01010665,628
E01010666,691
E01010667,598
E01010668,500
E01010669,649
E01010670,459
E01010671,513
E01010672,553
E01010673,488
E01010674,638
E01010675,643
E01010676,561
E01010678,555
E01010679,611
E01010680,854
E01010681,573
E01010682,683
E01010683,1042
E01010684,667
E01010685,778
E01010686,779
E01010687,737
E01010688,852
E01010689,877
E01010690,855
E01010691,676
E01010692,906
E01010693,571
E01010694,628
E01010695,847
E01010696,621
E01010697,639
E01010698,959
E01010699,889
E01010700,465
E01010701,434
E01010702,491
E01010703,649
E01010704,607
E01010705,678
E01010706,704
E01010707,795
E01010708,639
E01010709,1055
E01010710,939
E01010711,865
E01010712,474
E01010713,652
E01010714,622
E01010715,464
E01010716,947
E01010717,691
E01010718,654
E01010719,518
E01010720,629
E01010721,806
E01010722,647
E01010723,490
E01010724,610
E01010725,691
E01010726,610
E01010727,752
E01010728,515
E01010729,489
E01010730,665
E01010731,632
E01010732,454
E01010733,579
E01010734,491
E01010735,549
E01010736,622
E01010737,521
E01010738,574
E01010739,630
E01010740,536
E01010741,653
E01010742,577
E01010743,630
E01010744,466
E01010745,612
E01010746,813
E01010747,645
E01010748,700
E01010749,637
E01010750,681
E01010751,676
E01010752,949
E01010753,614
E01010754,683
E01010755,733
E01010756,749
E01010758,505
E01010759,738
E01010760,744
E01010761,678
E01010762,613
E01010763,644
E01010764,686
E01010765,1107
E01010766,538
E01010767,633
E01010768,644
E01010769,743
E01010770,673
E01010771,494
E01010772,508
E01010773,681
E01010774,752
E01010775,702
E01010776,682
E01010777,780
E01010778,810
E01010779,767
E01010781,621
E01010782,1098
E01010783,681
E01010784,773
E01010785,867
E01010786,551
E01010787,688
E01010788,580
E01010789,678
E01010790,601
E01010791,524
E01010792,598
E01010793,587
E01010794,799
E01010795,838
E01010796,712
E01010797,581
E01010798,717
E01010799,661
E01010800,701
E01010801,645
E01010802,783
E01010803,572
E01010804,481
E01010805,509
E01010806,497
E01010807,861
E01010808,552
E01010809,492
E01010810,560
E01010811,585
E01010812,617
E01010813,528
E01010814,796
E01010815,972
E01010816,796
E01010817,984
E01010818,792
E01010819,656
E01010820,618
E01010821,787
E01010822,543
E01010824,745
E01010825,575
E01010826,532
E01010827,559
E01010828,725
E01010829,604
E01010830,770
E01010831,630
E01010832,582
E01010833,595
E01010834,775
E01010836,550
E01010837,506
E01010838,573
E01010839,530
E01010840,540
E01010841,488
E01010842,628
E01010843,451
E01010845,851
E01010846,859
E01010847,691
E01010848,667
E01010849,607
E01010850,502
E01010851,641
E01010852,705
E01010853,495
E01010854,845
E01010855,733
E01010856,754
E01010857,738
E01010858,729
E01010859,776
E01010860,738
E01010861,772
E01010862,719
E01010863,606
E01010864,520
E01010865,731
E01010866,612
E01010867,699
E01010868,698
E01010869,778
E01010870,672
E01010871,802
E01010872,725
E01010873,506
E01010874,610
E01010875,771
E01010876,692
E01010877,781
E01010878,877
E01010879,800
E01010880,691
E01010881,706
E01010882,630
E01010883,651
E01010884,780
E01010885,702
E01010886,506
E01010887,699
E01010888,809
E01010889,860
E01010890,847
E01010891,808
E01010892,751
E01010893,619
E01010894,791
E01010895,635
E01010896,678
E01010897,727
E01010898,827
E01010899,570
E01010900,670
E01010901,817
E01010902,647
E01010903,728
E01010904,691
E01010905,811
E01010906,595
E01010907,636
E01010908,987
E01010909,788
E01010910,576
E01010911,737
E01010912,693
E01010913,566
E01010914,692
E01010915,644
E01010916,615
E01010917,866
E01010918,729
E01010919,783
E01010920,750
E01010921,737
E01010922,813
E01010923,787
E01010924,545
E01010925,592
E01010926,428
E01010927,919
E01010928,632
E01010929,923
E01010930,745
E01010931,635
E01010932,682
E01010933,732
E01010934,939
E01010935,674
E01010936,870
E01010937,684
E01010938,629
E01010939,717
E01010940,662
E01010941,543
