year,model_run,new_ranking_quintile_deprivation,mean_emission,median_emission,p25,p75,sd,n,se,baseline_median,baseline_p25,baseline_p75,pct_median,pct_p25,pct_p75,deprivation
2023-01-01,Current trends persist,1,3.8669145252761092,3.1005600700455034,2.5976808340322606,4.144085443999399,2.567143326900029,107,0.2481751126724338,3.089872732823157,2.5944309278885633,4.139741662142065,0.34588276432283893,0.12526470097017114,0.10492881469048795,Q1 (most deprived)
2023-01-01,Current trends persist,5,1.9209402061332106,1.6230974655765622,1.2457371178209156,2.3313724906406765,0.9607072611784868,122,0.086978348619259,1.619146567609594,1.2397385014734232,2.3262527151154733,0.24401113808993175,0.4838614224179533,0.2200868156729533,Q5 (least deprived)
2023-01-01,Suitability-driven uptake,1,3.8647960130110426,3.100300554130612,2.5957809974169805,4.141667926665361,2.566011766271015,107,0.24806572057747028,3.0887874844517933,2.5859651189090713,4.129026301460782,0.3727375138876533,0.37958278849678345,0.3061648021013264,Q1 (most deprived)
2023-01-01,Suitability-driven uptake,5,1.920900803803418,1.62209825435888,1.246087768734581,2.331167777101408,0.9602142301252977,122,0.0869337116850364,1.614733706660434,1.2414377278033233,2.325372585685377,0.45608434803019726,0.3745690039149873,0.24921560749900018,Q5 (least deprived)
2024-01-01,Current trends persist,1,3.8643055254838123,3.0952989746799773,2.5960864868389892,4.141949927578581,2.5665317971678236,107,0.24811599386180788,3.089872732823157,2.5944309278885633,4.139741662142065,0.17561376555022146,0.06381202646906682,0.053343073475123834,Q1 (most deprived)
2024-01-01,Current trends persist,5,1.9180472176756316,1.6211544891937517,1.2429238304644832,2.328850874150304,0.9602481895089554,122,0.086936786223171,1.619146567609594,1.2397385014734232,2.3262527151154733,0.12401110710577085,0.2569355543345791,0.11168859762949468,Q5 (least deprived)
2024-01-01,Suitability-driven uptake,1,3.858561917299223,3.0946147963589,2.590925218031318,4.13541848614512,2.563465790165371,107,0.2478195917773138,3.0887874844517933,2.5859651189090713,4.129026301460782,0.18866017608657476,0.1918084310564475,0.15481094615639884,Q1 (most deprived)
2024-01-01,Suitability-driven uptake,5,1.9179512763923126,1.6184528900401962,1.2439377998394243,2.3283000219924608,0.9589116148771913,122,0.08681577844174272,1.614733706660434,1.2414377278033233,2.325372585685377,0.2303279707620798,0.20138521490923375,0.12589106473107797,Q5 (least deprived)
2025-01-01,Current trends persist,1,3.861611189714403,3.089872732823157,2.5944309278885633,4.139741662142065,2.565899137683195,107,0.24805483236091475,3.089872732823157,2.5944309278885633,4.139741662142065,0,0,0,Q1 (most deprived)
2025-01-01,Current trends persist,5,1.915068208975044,1.619146567609594,1.2397385014734232,2.3262527151154733,0.9597714397420551,122,0.08689362332734908,1.619146567609594,1.2397385014734232,2.3262527151154733,0,0,0,Q5 (least deprived)
