PCON25CD,PCON25NM,total_population_PC,mean_imd_ranking,median_imd_lsoa_ranking,median_imd_decile,total_number_of_LSOAs,number_of_LSOAs_with_decile_equal_1,pct_decile_equal_1,number_of_LSOAs_with_decile_equal_10,pct_decile_equal_10,new_ranking
E14001513,Stafford,95045,27150.431637645324,28338,7,55,0,0,11,20,418
E14001163,Chester North and Neston,91180,25158.06152665058,28402,7,57,3,5.263157894736842,9,15.789473684210526,419
E14001558,Uxbridge and South Ruislip,109115,25699.13368464464,28414,7,60,0,0,2,3.3333333333333335,420
E14001514,Staffordshire Moorlands,85264,25767.102874601238,28434,7,52,0,0,2,3.8461538461538463,421
E14001557,Tynemouth,95720,24144.36245298788,28496,7,62,8,12.903225806451612,14,22.58064516129032,422
E14001404,North West Leicestershire,98992,27206.277173913044,28533,7,55,2,3.6363636363636362,5,9.090909090909092,423
E14001087,Beverley and Holderness,88726,27246.582473006787,28564,7,56,3,5.357142857142857,13,23.214285714285715,424
E14001351,Maldon,96499,27898.631840744463,28576,7,60,0,0,10,16.666666666666664,425
E14001423,Penistone and Stocksbridge,92491,25135.16521607508,28616,7,59,2,3.389830508474576,3,5.084745762711865,426
E14001370,Milton Keynes North,86267,25889.176260910892,28773,7,54,1,1.8518518518518516,6,11.11111111111111,427
E14001287,High Peak,91106,26432.782687199528,28789,7,59,3,5.084745762711865,6,10.16949152542373,428
E14001549,Tonbridge,96014,28951.71682254671,28830,7,57,0,0,12,21.052631578947366,429
E14001417,Orpington,98278,26893.307367874804,28846,7,60,0,0,16,26.666666666666668,430
E14001483,South Derbyshire,89167,26499.652057375486,28875,7,50,0,0,6,12,431
E14001536,Swindon North,97722,25040.306834694336,28909,7,59,6,10.16949152542373,6,10.16949152542373,432
E14001444,Richmond and Northallerton,93861,29053.33901727022,28982,7,61,0,0,9,14.754098360655737,433
E14001464,Selby,97368,28077.677019143866,29009,7,56,1,1.7857142857142856,8,14.285714285714285,434
E14001373,New Forest East,91156,28021.8417986748,29098,7,60,0,0,11,18.333333333333332,435
E14001187,Croydon South,103228,28061.031125276088,29157,7,60,0,0,6,10,436
E14001463,Sefton Central,90036,27276.53517481896,29161,7,62,0,0,7,11.29032258064516,437
E14001151,Canterbury,105360,26392.585848519364,29220,7,61,1,1.639344262295082,7,11.475409836065573,438
E14001291,Honiton and Sidmouth,90451,28680.569927363988,29223,7,51,0,0,3,5.88235294117647,439
E14001475,Skipton and Ripon,99717,29189.890675611983,29251,7,60,0,0,7,11.666666666666666,440
E14001063,Aldershot,115740,27629.285540867462,29255,7,69,0,0,15,21.73913043478261,441
E14001149,Cambridge,122996,26685.446652736675,29255,7,58,0,0,4,6.896551724137931,442
E14001169,Chipping Barnet,115521,27852.24660884168,29321,7,68,0,0,8,11.76470588235294,443
E14001342,Loughborough,98100,27699.311172273192,29324,7,54,2,3.7037037037037033,14,25.925925925925924,444
E14001418,Ossett and Denby Dale,95051,26326.930973898223,29357,7,59,1,1.694915254237288,9,15.254237288135593,445
E14001523,"Stone, Great Wyrley and Penkridge",94430,27811.053182251402,29381,7,54,0,0,5,9.25925925925926,446
